,Y
Nilotinib_ATN-1,2.605079
Lapatinib_RL95-2,2.240258
KRAS (G12C) Inhibitor-12_RCC10RGB,7.029202
Sabutoclax_HT-1080,-0.262239
EPZ5676_MOLT-4,5.040939
LGK974_T84,3.353002
Lapatinib_WM793B,2.248952
LJI308_TOV-21G,5.406102
Pictilisib_VMRC-RCZ,4.381645
EPZ5676_JHH-7,6.330808
PRIMA-1MET_PANC-10-05,3.324556
Epirubicin_KE-37,-4.171413
AZD6738_KARPAS-299,-0.884797
MIRA-1_HSC-3,5.381795
Tamoxifen_JHH-6,5.147441
P22077_EGI-1,5.246072
Epirubicin_PANC-02-03,0.399258
GSK1904529A_SW626,4.722679
LGK974_MS-1,3.397866
GSK1904529A_PC-3,5.084958
Gemcitabine_LS-1034,0.511899
Olaparib_RCM-1,7.275705
GDC0810_TOV-21G,4.929608
Pyridostatin_U-266,0.973118
Pictilisib_COLO-792,0.797091
MN-64_COLO-792,4.208665
Ibrutinib_DOHH-2,0.483307
Olaparib_NCI-H526,3.838357
Olaparib_KP-1N,5.271477
Navitoclax_LU-99A,2.252079
PLX-4720_SU8686,5.955705
GSK591_HOP-62,4.884728
Gemcitabine_TE-5,-2.266587
Lapatinib_OV-56,5.953455
MK-8776_KARPAS-620,3.509381
Cediranib_HCC1395,0.840549
Vinblastine_SU-DHL-5,-6.585774
GSK1904529A_CAL-62,3.658839
Niraparib_DMS-79,1.423223
Pictilisib_CAMA-1,0.446671
AZD4547_C32,3.488632
NVP-ADW742_ZR-75-30,5.141317
GSK1904529A_BFTC-909,4.591793
MN-64_SU-DHL-5,2.860099
Sapitinib_MFH-ino,5.766176
Gefitinib_L-540,2.875416
AZD5582_CHSA8926,-2.1976
LJI308_RT4,5.772561
Picolinici-acid_G-402,5.059188
SCH772984_TOV-21G,1.56111
Taselisib_Detroit562,-1.113697
GSK591_G-402,4.821653
AGI-6780_GRANTA-519,5.061241
PLX-4720_Hs-766T,3.418367
Foretinib_OCUM-1,0.88995
Tamoxifen_IST-MEL1,4.857483
Ibrutinib_SNU-C5,6.325963
AZD5582_SK-HEP-1,3.252838
Tamoxifen_NCI-H524,2.825896
UMI-77_ASH-3,3.038206
Foretinib_HEC-1,3.80943
Sorafenib_SK-PN-DW,2.522931
Entinostat_CW-2,2.251115
PRIMA-1MET_SW1088,6.969148
Ipatasertib_JHH-7,5.527911
Gefitinib_8305C,3.953418
AZD6738_SK-N-SH,2.046572
Leflunomide_SW900,4.712536
GDC0810_NCI-H524,4.467532
Alisertib_SW1116,1.723372
Trametinib_SK-OV-3,2.569938
Taselisib_BT-483,3.541277
Vinblastine_OS-RC-2,0.813299
Cyclophosphamide_KGN,5.220625
WIKI4_SW982,4.769303
VX-11e_SUP-T1,4.000695
Olaparib_HuO9,2.748442
Taselisib_BICR78,2.11608
YK-4-279_JVM-2,0.148429
Sorafenib_ONS-76,3.308733
Leflunomide_HGC-27,4.635325
Ipatasertib_TGBC24TKB,3.056127
I-BET-762_CCRF-CEM,2.633958
Osimertinib_SK-N-FI,1.54377
Palbociclib_NCI-H1963,4.928592
Dabrafenib_MIA-PaCa-2,3.978346
Nutlin-3a (-)_MCF7,2.745325
Vinblastine_ECC10,-4.826142
AZD4547_SNU-182,2.882536
Entinostat_LK-2,4.012621
Fulvestrant_ZR-75-30,4.271997
IWP-2_NCI-N87,3.844546
PD173074_NCI-H2461,5.328005
MK-1775_MDA-MB-157,1.045456
Obatoclax Mesylate_MS751,2.586533
WIKI4_BICR78,4.301321
Pictilisib_SNU-449,2.23041
GSK591_NCCIT,4.160362
Wnt-C59_IGR-1,5.203212
GNE-317_HCC2998,0.548869
EPZ5676_SNG-M,5.001191
AZD7762_HT-1376,0.24875
WIKI4_MFE-319,3.49496
Tamoxifen_U-87-MG,4.3244
Olaparib_RKN,6.006083
PRT062607_DEL,0.882064
Crizotinib_NCI-H1693,5.512354
Cytarabine_KOPN-8,-3.454683
Entinostat_SKN-3,2.0162
LCL161_SK-LU-1,4.469296
YK-4-279_HCC1954,2.420963
MK-2206_REH,0.918135
EPZ004777_LN-18,4.43446
Camptothecin_NCI-H1993,-1.619025
PD0325901_GI-1,1.042976
Ipatasertib_H4,2.979652
Docetaxel_HTC-C3,-4.623527
LCL161_MDA-MB-231,4.631364
AZD7762_HCC-827,-0.263113
Taselisib_HAL-01,-2.442784
Palbociclib_MS-1,3.880808
Wnt-C59_BxPC-3,3.331571
Foretinib_HDLM-2,1.218148
OF-1_IHH-4,5.050491
Paclitaxel_MES-SA,-3.061375
AZD5582_MOLM-13,-3.675506
Paclitaxel_EVSA-T,-3.33422
SCH772984_Raji,3.150894
Dinaciclib_LCLC-103H,-3.337541
LY2109761_NCI-H1355,6.676656
Wnt-C59_OCUM-1,5.056804
OTX015_SUIT-2,3.314821
Vinblastine_MOLT-13,-5.073318
VE-822_DEL,0.226276
Sapitinib_DoTc2-4510,1.088475
I-BRD9_YAPC,5.596804
Linsitinib_YH-13,4.836929
Cyclophosphamide_MKN7,6.161083
VX-11e_KLE,3.850167
AZD6738_SF539,0.682066
GSK591_OVCAR-8,4.393298
IWP-2_MOLT-13,2.081402
EPZ5676_COLO-829,7.209025
Vinorelbine_PC-3_[JPC-3],-0.742632
ML323_TE-1,5.072065
AZD4547_Daoy,1.649919
GDC0810_SW756,6.756277
UMI-77_NCI-H209,1.151555
MIRA-1_SNU-387,6.035127
Epirubicin_NCI-H1048,-2.416449
Sapitinib_CTV-1,0.327238
Alisertib_M059J,0.632728
Vorinostat_SUIT-2,4.128124
UMI-77_OVMIU,1.708069
Vorinostat_UMC-11,0.833198
Tamoxifen_KARPAS-1106P,2.811625
Vinblastine_KALS-1,-2.75165
GSK2578215A_JIMT-1,5.580478
Leflunomide_OACM5-1,4.881635
SCH772984_COLO-684,4.339778
PD0325901_COLO-824,0.970915
AZD6738_PA-TU-8902,3.256835
I-BRD9_A673,3.798647
Dactolisib_MOLM-13,-4.033873
Trametinib_HCC2998,-6.0322
I-BRD9_23132-87,3.51101
VX-11e_KYSE-50,2.358124
AZD5582_MLMA,0.460011
Vinorelbine_NY,-4.633715
WIKI4_FU-OV-1,4.069417
CZC24832_ARH-77,4.485683
LGK974_SUP-B15,4.383695
Trametinib_GDM-1,0.502146
AZ960_Daudi,0.166131
YK-4-279_HGC-27,0.315108
Entospletinib_PCI-4B,2.595294
I-BET-762_Daoy,2.660641
Navitoclax_CaR-1,1.988543
I-BET-762_HSC-2,2.046179
Taselisib_CGTH-W-1,2.878975
I-BET-762_NCI-H82,2.637443
PRT062607_Ca-Ski,3.439289
BIBR-1532_Saos-2,5.721711
NVP-ADW742_NCI-H322M,2.385892
Entospletinib_SKG-IIIa,2.987392
Lapatinib_SNU-387,4.244404
PRIMA-1MET_VMRC-RCZ,7.574778
BMS-345541_KMRC-20,3.856213
YK-4-279_MFE-296,3.137752
Wnt-C59_EN,3.073422
PFI3_MN-60,5.62018
Vinorelbine_KU-19-19,-4.201207
Irinotecan_COR-L32,0.778268
Gefitinib_EW-22,3.504509
Telomerase Inhibitor IX_SW684,2.165779
Wee1 Inhibitor_BALL-1,-0.361838
Entinostat_MRK-nu-1,1.308821
Foretinib_EBC-1,-4.780019
AZD8186_JHH-7,5.487765
Cisplatin_TYK-nu,1.686178
Vinblastine_GOTO,-3.89432
Oxaliplatin_KMOE-2,2.308486
Dactolisib_SK-ES-1,-2.851514
LJI308_NCI-H2452,6.29472
AZD3759_Mewo,4.075954
PCI-34051_U-698-M,2.452632
Sapitinib_CCK-81,-0.616435
Ruxolitinib_A204,4.463329
Linsitinib_M059J,4.528899
MK-2206_CAL-120,6.058274
MIRA-1_HT-1197,5.991962
I-BET-762_KG-1,2.043469
Daporinad_BL-41,-7.157177
Camptothecin_Hep3B2-1-7,-1.567078
AZD4547_HCC1806,1.719077
Vinorelbine_PANC-02-03,-0.594899
Leflunomide_ARH-77,3.527637
Leflunomide_Mo-T,4.421833
PLX-4720_SW982,1.28071
Pictilisib_SN12C,3.228309
Wee1 Inhibitor_NCI-H28,3.345661
MK-2206_BHT-101,2.180174
Vinorelbine_NCI-H1755,-3.337118
Ibrutinib_A101D,5.886854
MK-1775_EN,0.384021
Venetoclax_UACC-812,3.863955
MK-2206_SW872,4.676557
EPZ5676_KINGS-1,5.760891
MG-132_CHL-1,-1.212896
Wee1 Inhibitor_SK-MM-2,3.777665
GSK2606414_C2BBe1,4.149488
WIKI4_LOU-NH91,3.858844
Dinaciclib_A427,-3.126298
Pevonedistat_NCI-H524,-0.092429
OF-1_LB996-RCC,3.609124
WZ4003_KELLY,1.621003
Trametinib_WM278,-2.741451
PLX-4720_DMS-114,5.368516
PD173074_NCI-H2052,5.366021
GSK343_MEG-01,2.403411
Gefitinib_NCI-H28,5.210736
Fulvestrant_MOLT-13,1.664045
VE-822_PEO1,4.164265
Epirubicin_GDM-1,-2.23459
MG-132_HMV-II,-1.219169
EPZ004777_NALM-6,3.380997
AZD3759_SK-N-FI,2.947334
Daporinad_LK-2,-4.97062
VE-822_KP-2,5.150011
P22077_NB10,3.49679
Ipatasertib_K5,2.462012
Osimertinib_ZR-75-30,-0.373178
OF-1_KCL-22,3.577483
Sapitinib_VA-ES-BJ,6.227139
Afatinib_PANC-03-27,1.640546
Foretinib_DU-4475,0.128927
LJI308_HPAF-II,6.572824
Foretinib_ES6,1.031547
Crizotinib_MDA-MB-468,1.335302
Vinorelbine_HCC1500,-1.706351
Irinotecan_SW620,2.009593
GDC0810_KALS-1,5.925368
ABT737_SCC-4,1.336195
Epirubicin_HuP-T3,-0.493038
Crizotinib_BICR10,4.505701
WIKI4_PC-14,3.760666
LCL161_AU565,4.291762
MK-8776_DB,3.451773
Alisertib_BT-20,2.450158
AMG-319_KU-19-19,4.691286
Trametinib_A673,1.321861
Cytarabine_PL4,0.963056
BIBR-1532_ES4,5.681396
GSK591_SNU-449,3.902756
Cytarabine_LB996-RCC,0.171259
AZD6738_NCI-H596,4.233152
Palbociclib_BICR10,3.273375
GDC0810_A2780,5.426341
Taselisib_MKN28,2.70581
VX-11e_OVCA420,1.929195
Taselisib_MM1S,-2.404915
Alpelisib_MDA-MB-231,4.141262
GSK1904529A_L-363,3.059616
AZD4547_CA46,1.45862
Crizotinib_EKVX,4.681206
Vinorelbine_LOU-NH91,-4.689274
Linsitinib_EW-3,0.826299
Dabrafenib_LB771-HNC,4.251236
Sorafenib_KCL-22,1.878712
LJI308_HSC-39,4.233212
NVP-ADW742_SW756,5.463818
Ibrutinib_LAMA-84,0.866718
IWP-2_LK-2,2.13267
Afatinib_MOLT-16,0.747676
MK-8776_SNU-449,5.444287
AZD6738_UMC-11,1.785564
VE-822_SNU-5,1.731046
LGK974_KG-1,3.590192
AZD7762_CHP-134,-0.803201
MK-8776_REH,2.659852
Pictilisib_OVTOKO,0.116582
Afuresertib_CTV-1,2.218605
Entinostat_OVCAR-8,1.018557
LY2109761_COLO-678,5.966543
Telomerase Inhibitor IX_HT-144,-0.29698
Entospletinib_CAL-51,3.945207
Nutlin-3a (-)_RH-1,3.392466
Osimertinib_WSU-DLCL2,0.561291
Nilotinib_H4,2.036686
Oxaliplatin_HCC1428,6.790176
Venetoclax_DG-75,2.117745
Savolitinib_NCI-H2087,3.648847
AZD4547_ES4,1.57294
BMS-345541_NOS-1,2.726967
AZD5582_LC4-1,1.588804
Nutlin-3a (-)_PANC-02-03,5.998066
PD173074_OVCAR-5,5.59966
SCH772984_EN,3.549817
Venetoclax_MONO-MAC-6,0.435326
Leflunomide_NCI-H1568,6.815307
AZD6738_RCC10RGB,3.338167
Nilotinib_MKN45,2.244856
Temozolomide_ECC10,5.587763
Vinblastine_NCI-H1963,-4.336525
5-Fluorouracil_NCI-H3122,3.998874
Erlotinib_Saos-2,4.184758
Trametinib_LAMA-84,-4.366107
Cisplatin_Raji,1.058617
Bortezomib_TK10,-4.065988
Irinotecan_Hs-766T,6.604868
Navitoclax_MHH-PREB-1,4.519492
Navitoclax_LCLC-97TM1,5.143516
LY2109761_AsPC-1,6.840575
Dasatinib_HCC2157,1.948885
PFI3_SJRH30,4.995883
Nutlin-3a (-)_ONS-76,4.437243
PD173074_A2058,3.484013
Pictilisib_HT-144,0.958647
Obatoclax Mesylate_GR-ST,0.624908
AZD6738_HL-60,2.014202
ML323_CP66-MEL,6.905903
VE-822_NCI-H1623,4.116363
KRAS (G12C) Inhibitor-12_A4-Fuk,2.171111
Palbociclib_MHH-CALL-2,2.637216
AGI-6780_SUP-T1,4.136438
BMS-345541_KARPAS-1106P,2.224891
Crizotinib_HT-29,1.666054
Ruxolitinib_Farage,4.268371
Ipatasertib_SNU-387,2.742376
Cediranib_VCaP,3.367855
WIKI4_MDST8,2.924392
YK-4-279_NCI-H524,0.326759
GSK2606414_HT-1197,3.695514
Vinblastine_SNU-C1,-1.293078
MG-132_SNU-1040,-1.684456
AZD7762_WSU-NHL,-3.069422
KRAS (G12C) Inhibitor-12_TUR,3.913341
AZD5582_UMC-11,5.736553
Gemcitabine_BL-41,-4.695271
Wee1 Inhibitor_NCI-H2461,3.210853
MK-1775_NCI-H2731,0.979374
VX-11e_A549,0.742541
BMS-345541_NCI-H1792,2.368506
Sepantronium bromide_OCUB-M,-3.622456
MK-8776_SNU-C1,3.081929
P22077_RPMI-8226,3.11126
Alpelisib_KMOE-2,3.900346
KRAS (G12C) Inhibitor-12_SW1116,6.907536
Obatoclax Mesylate_BB49-HNC,0.35764
GDC0810_OVCA420,6.375412
AZD5582_COR-L23,3.270083
ML323_EW-22,5.108879
OTX015_COLO-205,2.340572
VE-822_UACC-257,5.075854
Savolitinib_VCaP,3.524223
Palbociclib_FLO-1,2.66765
Lapatinib_LB771-HNC,5.057044
AZD3759_KYSE-270,0.939176
GSK591_DEL,2.415382
Cediranib_HSC-4,1.905927
Olaparib_LN-405,4.892363
Trametinib_T84,-0.926631
Alisertib_HDLM-2,3.69017
AMG-319_WSU-DLCL2,1.757196
Erlotinib_NCI-H810,2.985518
UMI-77_Hs-766T,4.001225
GNE-317_HCC38,1.122491
LCL161_VMRC-LCD,4.720942
Linsitinib_SU-DHL-6,2.753913
GSK1904529A_SK-LU-1,5.555323
AZD6738_NCI-H1581,2.33626
Gefitinib_KGN,3.087706
Erlotinib_NKM-1,2.522759
GSK591_IM-95,5.615249
Dactolisib_SNU-C1,0.138802
GSK2578215A_CAS-1,5.678508
PLX-4720_NCI-H2804,4.796613
Bortezomib_T47D,-5.243277
Camptothecin_BPH-1,-3.865278
Nilotinib_CCRF-CEM,0.899631
Gemcitabine_NCI-H1975,-0.705631
PFI3_KP-N-YN,4.353309
AZD7762_SK-CO-1,-1.13246
Entinostat_P32-ISH,-0.128549
PLX-4720_PCI-4B,3.545958
MK-1775_CAL-62,-0.400772
LY2109761_CAL-85-1,5.276332
VE-822_VMRC-RCZ,7.00179
Fulvestrant_OCI-AML3,1.546011
EPZ004777_L-428,3.419761
AZD4547_HCC70,3.119422
P22077_LU-99A,5.706499
Wee1 Inhibitor_BICR78,3.107146
Pevonedistat_BHT-101,-0.07388
MK-2206_RKO,2.893271
Erlotinib_BT-483,5.345625
Axitinib_HCC2157,4.332109
P22077_SW1271,6.142418
Irinotecan_SW684,6.549332
WEHI-539_HCC-827,5.272258
Lapatinib_ESS-1,1.819426
Alisertib_Detroit562,-0.906023
Dactolisib_EW-16,-2.005331
I-BET-762_SLVL,1.886536
Telomerase Inhibitor IX_ES4,3.194406
Pictilisib_IGR-1,3.093349
GSK1904529A_LNCaP-Clone-FGC,2.557494
Gefitinib_LU-65,1.435237
GSK1904529A_G-MEL,2.269995
AGI-6780_U-87-MG,3.501643
AZD3759_NB12,2.895523
Lapatinib_SKN-3,3.274777
Alisertib_A673,0.678384
SCH772984_HD-MY-Z,3.538204
Palbociclib_NCI-H2405,5.588066
AZD4547_BC-1,2.718622
Obatoclax Mesylate_HOS,1.278311
Irinotecan_HT-1080,3.950113
I-BET-762_DU-4475,2.891774
YK-4-279_KYSE-150,1.627007
PRT062607_CaR-1,3.969033
Trametinib_NCI-H2029,1.772415
LCL161_ESO26,4.407158
LY2109761_ES-2,4.699673
Pictilisib_PF-382,0.401816
Temozolomide_Hs-746T,6.088162
Dasatinib_NCI-H1341,3.867869
ABT737_NCI-H209,-2.529415
Obatoclax Mesylate_GCT,2.234066
PD0325901_LU-139,1.554424
Oxaliplatin_NCI-H520,3.544727
Alisertib_SNU-175,-1.048112
Navitoclax_HCC1419,1.881922
AMG-319_TE-6,6.514957
Uprosertib_SW982,3.897319
VE-822_HTC-C3,3.329117
Afatinib_SK-GT-2,-5.257743
Trametinib_HCC1599,3.703033
Sorafenib_CFPAC-1,3.295067
Trametinib_SNU-5,-2.16009
VE-822_AN3-CA,3.059745
Entospletinib_SK-UT-1,2.946272
MIRA-1_NCI-H2066,6.72514
LJI308_Hs-633T,4.543363
Gemcitabine_BT-483,7.779926
AZ960_MSTO-211H,1.587539
GSK343_NCI-H1563,3.186904
VX-11e_NCI-H64,4.35075
MK-8776_PSN1,4.117024
PFI3_NCI-H716,5.90874
CZC24832_HT-3,5.825148
P22077_FU97,5.09334
KRAS (G12C) Inhibitor-12_OPM-2,3.261774
Docetaxel_CAPAN-1,-4.679756
Temozolomide_NCI-H2591,7.887108
Vinorelbine_KARPAS-620,-5.736394
Fulvestrant_KMOE-2,2.349718
WIKI4_NCI-H1694,3.579753
Trametinib_SBC-5,0.548222
CZC24832_KINGS-1,4.569923
PRIMA-1MET_SAT,6.100431
AZD6738_GCIY,3.532777
GSK269962A_MCF7,2.681575
Docetaxel_LU-139,-4.788101
Dabrafenib_ESO51,3.172744
BIBR-1532_FU-OV-1,6.692497
Cyclophosphamide_NEC8,4.077622
Pyridostatin_697,1.383976
Ipatasertib_A549,2.983572
Afatinib_Calu-3,-0.567689
Cytarabine_NCI-H1781,0.834952
Dabrafenib_HGC-27,4.814526
AZD6738_SW1990,2.856341
OF-1_OE21,4.32959
PCI-34051_huH-1,5.224903
Pictilisib_SCC90,4.638575
I-BRD9_KU812,2.413691
KRAS (G12C) Inhibitor-12_KG-1,3.82082
Alisertib_NCI-H1963,-1.504126
Irinotecan_ABC-1,2.479259
Ibrutinib_SK-N-DZ,5.469603
Sabutoclax_HuO-3N1,1.295979
MN-64_H-EMC-SS,6.417
CZC24832_GCIY,4.926635
VE821_NCI-H524,2.927378
PLX-4720_HA7-RCC,4.997972
ABT737_HGC-27,1.529706
VE821_DG-75,2.543751
GDC0810_H-EMC-SS,5.633488
CZC24832_AN3-CA,3.827231
PD173074_A2780,-0.462353
GNE-317_MS751,1.784819
YK-4-279_LN-229,3.946415
Navitoclax_EFO-21,6.399006
Entinostat_CAL-54,3.597563
CZC24832_NCI-H2052,6.148724
Alpelisib_BL-41,2.409205
Uprosertib_OACp4C,1.074534
LJI308_TGW,4.815109
Foretinib_NCI-H1092,2.285206
Cyclophosphamide_CML-T1,3.203529
Sepantronium bromide_SKN,-6.051831
BIBR-1532_B-CPAP,4.101346
SCH772984_DBTRG-05MG,2.926958
PRIMA-1MET_COLO-829,6.199892
EPZ5676_HCC1806,5.05934
MIRA-1_MS751,5.207467
Ipatasertib_NCI-H1876,3.316452
OTX015_RXF393,4.847925
MN-64_DOHH-2,2.822493
Obatoclax Mesylate_OCI-AML2,0.782465
AMG-319_AMO-1,3.723846
Gemcitabine_HT-1080,-0.08467
I-BRD9_KU-19-19,2.723268
MK-1775_ESS-1,-0.428258
Uprosertib_JSC-1,3.076166
BIBR-1532_SLVL,4.711704
VE821_PL4,3.241002
WIKI4_SW1417,3.906475
Obatoclax Mesylate_DK-MG,0.854293
BMS-345541_EW-1,2.283799
SB216763_MDA-MB-468,4.343723
AMG-319_KM12,5.190722
Trametinib_HCC1806,-0.269599
Cytarabine_AGS,-0.434439
PRT062607_HGC-27,2.534826
I-BRD9_COR-L32,2.253244
Gemcitabine_HLE,-3.047295
OF-1_CP66-MEL,6.232489
AZD5582_CAL-27,2.810526
Cisplatin_SCC-3,-1.222983
Crizotinib_OACM5-1,4.417202
GSK2606414_TK,2.477031
Dinaciclib_NCI-H211,-3.560309
PRIMA-1MET_EN,6.077104
Uprosertib_NCI-H1993,1.693128
Cyclophosphamide_DSH1,5.178956
GSK2606414_PANC-02-03,3.169339
Vinblastine_FU97,-3.671457
Osimertinib_NCI-H2087,3.140533
SCH772984_HuP-T3,1.502758
PCI-34051_EoL-1-cell,3.14941
I-BRD9_BPH-1,2.498875
Pevonedistat_HCC2157,1.789117
GSK591_MOLT-4,1.564487
Dactolisib_NY,0.460081
GSK1904529A_NCI-H2052,4.499651
Uprosertib_NCI-H69,1.462131
Sabutoclax_BT-549,-0.00085
WEHI-539_NCI-H209,0.847066
Ibrutinib_697,3.209795
YK-4-279_EB-3,2.26399
AZD6738_KYSE-450,2.89814
Foretinib_ONS-76,1.516229
WIKI4_LoVo,5.00351
Afatinib_MDA-MB-330,-1.760659
Erlotinib_5637,0.723374
AMG-319_JURL-MK1,4.194645
Pictilisib_EFO-21,1.932371
MN-64_RCC-JW,5.611499
Obatoclax Mesylate_SK-LMS-1,1.346
Paclitaxel_CHSA8926,-1.862562
AMG-319_HOP-62,5.802327
Ipatasertib_MRK-nu-1,3.948655
Navitoclax_OV-90,1.721841
PD0325901_SJSA-1,-0.36284
BIBR-1532_NKM-1,4.890553
Pictilisib_MOLT-16,1.1396
Gemcitabine_EW-16,-4.116763
GSK343_CAL-54,3.477673
GSK2578215A_NCI-H526,4.422855
PLX-4720_HuP-T3,5.800472
Lapatinib_NCI-H211,1.462638
Cyclophosphamide_KARPAS-231,3.705044
Taselisib_MFE-280,-0.203438
Alisertib_JVM-2,-1.954958
Telomerase Inhibitor IX_DG-75,-0.424806
Cyclophosphamide_OVCAR-8,4.984436
AMG-319_SK-MM-2,4.527966
VX-11e_PA-TU-8902,4.201635
Irinotecan_EFM-192A,5.392277
GSK2606414_ETK-1,3.863825
Oxaliplatin_KARPAS-1106P,0.842224
Palbociclib_NCI-H650,4.572241
GSK2606414_EW-7,3.758926
Bortezomib_H9,-5.935564
Epirubicin_GB-1,-0.455693
Cyclophosphamide_OC-314,5.03974
PLX-4720_A3-KAW,2.163694
Sepantronium bromide_Hs-746T,-6.169525
EPZ004777_SU-DHL-8,3.641385
GSK2578215A_KYSE-450,4.203764
PRIMA-1MET_OACM5-1,6.945606
GSK591_BB49-HNC,3.646649
Cytarabine_L-540,0.76118
Tamoxifen_ES7,2.839397
GSK1904529A_VM-CUB-1,3.816586
Fulvestrant_HO-1-u-1,1.615189
Obatoclax Mesylate_CCK-81,0.979933
ABT737_KATOIII,4.093965
Gemcitabine_PCI-30,0.062281
VE-822_HCC70,2.531622
WZ4003_OVK-18,5.305551
I-BET-762_ESS-1,2.867495
Cediranib_TCCSUP,2.098414
Alisertib_TE-15,1.47739
Erlotinib_LNCaP-Clone-FGC,4.121635
Pevonedistat_HeLa,3.066888
WEHI-539_ATN-1,-2.964715
Ruxolitinib_SW1417,6.297428
Ibrutinib_MES-SA,4.573223
GNE-317_SK-GT-2,-0.0553
Afuresertib_L-428,2.266834
Crizotinib_KYSE-520,4.694966
ML323_Farage,5.362361
WIKI4_ES6,5.402157
Sorafenib_L-363,2.055438
AZD7762_OCUB-M,0.881398
AGI-6780_NCI-H1915,4.60017
Nilotinib_DU-4475,0.360705
Afatinib_NCI-H2009,1.563318
UMI-77_NCI-H2373,3.70208
GNE-317_NCI-H522,3.908014
Taselisib_SW1417,3.219553
Wnt-C59_NCI-H810,3.383733
Sabutoclax_PF-382,-0.857084
WIKI4_ESO51,3.923184
Entospletinib_CFPAC-1,4.282289
Afatinib_MM1S,1.590824
Docetaxel_NCI-H596,-3.43398
GSK591_NCI-H1792,4.567241
Nilotinib_PA-1,3.280432
AGI-6780_A2780,3.065493
AZD5582_MES-SA,1.433522
Telomerase Inhibitor IX_NCI-H3122,1.056637
Wee1 Inhibitor_IGR-1,1.536918
P22077_BT-474,3.837366
Gefitinib_HO-1-N-1,2.015662
Sapitinib_NCI-H1781,1.337327
Cisplatin_HC-1,1.030553
