Cell line Name,Model ID, COSMIC ID, TCGA Classfication, Tissue,Tissue sub-type, Datasets, number of drugs
"A253","SIDM00796","906794","UNCLASSIFIED","aero_digestive_tract","head_and_neck","GDSC2","281"
"A2780","SIDM00210","906804","UNCLASSIFIED","urogenital_system","ovary","GDSC1","353"
"A2780","SIDM00210","906804","UNCLASSIFIED","urogenital_system","ovary","GDSC2","281"
"A3-KAW","SIDM00495","910935","DLBC","blood","B_cell_lymphoma","GDSC1","387"
"A3-KAW","SIDM00495","910935","DLBC","blood","B_cell_lymphoma","GDSC2","278"
"A375","SIDM00795","906793","SKCM","skin","melanoma","GDSC1","360"
"A375","SIDM00795","906793","SKCM","skin","melanoma","GDSC2","296"
"A388","SIDM00794","910697","UNCLASSIFIED","skin","skin_other","GDSC1","395"
"A388","SIDM00794","910697","UNCLASSIFIED","skin","skin_other","GDSC2","179"
"A4-Fuk","SIDM00502","910934","DLBC","blood","B_cell_lymphoma","GDSC1","362"
"A4-Fuk","SIDM00502","910934","DLBC","blood","B_cell_lymphoma","GDSC2","281"
"A427","SIDM00810","910851","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC1","349"
"A427","SIDM00810","910851","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC2","256"
"A431","SIDM00995","910925","UNCLASSIFIED","skin","skin_other","GDSC1","346"
"A431","SIDM00995","910925","UNCLASSIFIED","skin","skin_other","GDSC2","180"
"A498","SIDM00124","905948","KIRC","kidney","kidney","GDSC1","385"
"A498","SIDM00124","905948","KIRC","kidney","kidney","GDSC2","281"
"A549","SIDM00903","905949","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","359"
"A549","SIDM00903","905949","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC2","283"
"A673","SIDM00848","684052","UNCLASSIFIED","soft_tissue","rhabdomyosarcoma","GDSC1","353"
"A673","SIDM00848","684052","UNCLASSIFIED","soft_tissue","rhabdomyosarcoma","GDSC2","282"
"A704","SIDM00849","910920","KIRC","kidney","kidney","GDSC1","346"
"A704","SIDM00849","910920","KIRC","kidney","kidney","GDSC2","281"
"ABC-1","SIDM00494","906791","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","348"
"ABC-1","SIDM00494","906791","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC2","256"
"ACHN","SIDM00123","905950","KIRC","kidney","kidney","GDSC1","343"
"ACHN","SIDM00123","905950","KIRC","kidney","kidney","GDSC2","282"
"AGS","SIDM00850","906790","STAD","digestive_system","stomach","GDSC1","311"
"AGS","SIDM00850","906790","STAD","digestive_system","stomach","GDSC2","281"
"ALL-PO","SIDM00211","910944","ALL","blood","lymphoblastic_leukemia","GDSC1","394"
"ALL-PO","SIDM00211","910944","ALL","blood","lymphoblastic_leukemia","GDSC2","281"
"ALL-SIL","SIDM00994","1295740","ALL","blood","T_cell_leukemia","GDSC1","394"
"ALL-SIL","SIDM00994","1295740","ALL","blood","T_cell_leukemia","GDSC2","280"
"AM-38","SIDM00492","910933","GBM","nervous_system","glioma","GDSC1","386"
"AM-38","SIDM00492","910933","GBM","nervous_system","glioma","GDSC2","281"
"AMO-1","SIDM00993","1295741","MM","blood","haematopoietic_neoplasm_other","GDSC1","395"
"AMO-1","SIDM00993","1295741","MM","blood","haematopoietic_neoplasm_other","GDSC2","267"
"AN3-CA","SIDM00901","910781","UCEC","urogenital_system","endometrium","GDSC1","344"
"AN3-CA","SIDM00901","910781","UCEC","urogenital_system","endometrium","GDSC2","280"
"ARH-77","SIDM00900","906765","MM","blood","myeloma","GDSC1","386"
"ARH-77","SIDM00900","906765","MM","blood","myeloma","GDSC2","279"
"ASH-3","SIDM00491","1290722","THCA","thyroid","thyroid","GDSC1","351"
"ASH-3","SIDM00491","1290722","THCA","thyroid","thyroid","GDSC2","281"
"ATN-1","SIDM00233","910687","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC1","388"
"ATN-1","SIDM00233","910687","ALL","blood","lymphoblastic_T_cell_leukaemia","GDSC2","280"
"AU565","SIDM00898","910704","BRCA","breast","breast","GDSC1","324"
"AU565","SIDM00898","910704","BRCA","breast","breast","GDSC2","284"
"AsPC-1","SIDM00899","910702","PAAD","pancreas","pancreas","GDSC1","323"
"AsPC-1","SIDM00899","910702","PAAD","pancreas","pancreas","GDSC2","281"
"B-CPAP","SIDM00992","924104","THCA","thyroid","thyroid","GDSC1","345"
"B-CPAP","SIDM00992","924104","THCA","thyroid","thyroid","GDSC2","280"
"BALL-1","SIDM00287","910705","UNCLASSIFIED","blood","B_cell_leukemia","GDSC1","381"
"BALL-1","SIDM00287","910705","UNCLASSIFIED","blood","B_cell_leukemia","GDSC2","280"
"BB30-HNC","SIDM00172","753531","HNSC","aero_digestive_tract","head_and_neck","GDSC1","357"
"BB30-HNC","SIDM00172","753531","HNSC","aero_digestive_tract","head_and_neck","GDSC2","180"
"BB49-HNC","SIDM00174","753532","HNSC","aero_digestive_tract","head_and_neck","GDSC1","385"
"BB49-HNC","SIDM00174","753532","HNSC","aero_digestive_tract","head_and_neck","GDSC2","228"
"BB65-RCC","SIDM00191","753533","KIRC","kidney","kidney","GDSC1","392"
"BB65-RCC","SIDM00191","753533","KIRC","kidney","kidney","GDSC2","179"
"BC-1","SIDM00896","910919","DLBC","blood","B_cell_lymphoma","GDSC1","386"
"BC-1","SIDM00896","910919","DLBC","blood","B_cell_lymphoma","GDSC2","281"
"BC-3","SIDM00895","910918","DLBC","blood","B_cell_lymphoma","GDSC1","218"
"BC-3","SIDM00895","910918","DLBC","blood","B_cell_lymphoma","GDSC2","180"
"BE-13","SIDM01245","906763","ALL","blood","lymphoblastic_leukemia","GDSC1","386"
"BE-13","SIDM01245","906763","ALL","blood","lymphoblastic_leukemia","GDSC2","282"
"BE2-M17","SIDM01229","753616","NB","nervous_system","neuroblastoma","GDSC1","386"
"BE2-M17","SIDM01229","753616","NB","nervous_system","neuroblastoma","GDSC2","281"
"BEN","SIDM00990","753534","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC1","346"
"BEN","SIDM00990","753534","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC2","180"
"BFTC-905","SIDM00989","910926","BLCA","urogenital_system","bladder","GDSC1","326"
"BFTC-905","SIDM00989","910926","BLCA","urogenital_system","bladder","GDSC2","282"
"BFTC-909","SIDM00988","910698","KIRC","kidney","kidney","GDSC1","344"
"BFTC-909","SIDM00988","910698","KIRC","kidney","kidney","GDSC2","280"
"BHT-101","SIDM00987","906696","THCA","thyroid","thyroid","GDSC1","352"
"BHT-101","SIDM00987","906696","THCA","thyroid","thyroid","GDSC2","281"
"BHY","SIDM00986","753535","HNSC","aero_digestive_tract","head_and_neck","GDSC1","347"
"BHY","SIDM00986","753535","HNSC","aero_digestive_tract","head_and_neck","GDSC2","180"
"BICR10","SIDM00077","1290724","HNSC","aero_digestive_tract","head_and_neck","GDSC1","352"
"BICR10","SIDM00077","1290724","HNSC","aero_digestive_tract","head_and_neck","GDSC2","242"
"BICR22","SIDM00485","1240121","HNSC","aero_digestive_tract","head_and_neck","GDSC1","343"
"BICR22","SIDM00485","1240121","HNSC","aero_digestive_tract","head_and_neck","GDSC2","282"
"BICR31","SIDM00078","1290725","HNSC","aero_digestive_tract","head_and_neck","GDSC1","177"
"BICR31","SIDM00078","1290725","HNSC","aero_digestive_tract","head_and_neck","GDSC2","180"
"BICR78","SIDM00501","1240122","HNSC","aero_digestive_tract","head_and_neck","GDSC1","347"
"BICR78","SIDM00501","1240122","HNSC","aero_digestive_tract","head_and_neck","GDSC2","282"
"BL-41","SIDM00985","910706","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","390"
"BL-41","SIDM00985","910706","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC2","281"
"BONNA-12","SIDM00984","906695","","blood","hairy_cell_leukaemia","GDSC2","179"
"BPH-1","SIDM00964","924105","UNCLASSIFIED","urogenital_system","prostate","GDSC1","345"
"BPH-1","SIDM00964","924105","UNCLASSIFIED","urogenital_system","prostate","GDSC2","281"
"BT-20","SIDM00893","906801","BRCA","breast","breast","GDSC1","351"
"BT-20","SIDM00893","906801","BRCA","breast","breast","GDSC2","284"
"BT-474","SIDM00963","946359","BRCA","breast","breast","GDSC1","399"
"BT-474","SIDM00963","946359","BRCA","breast","breast","GDSC2","285"
"BT-483","SIDM00892","949093","BRCA","breast","breast","GDSC1","353"
"BT-483","SIDM00892","949093","BRCA","breast","breast","GDSC2","163"
"BT-549","SIDM00122","905951","BRCA","breast","breast","GDSC1","346"
"BT-549","SIDM00122","905951","BRCA","breast","breast","GDSC2","285"
"BV-173","SIDM00962","910710","LCML","blood","chronic_myeloid_leukaemia","GDSC1","383"
"BV-173","SIDM00962","910710","LCML","blood","chronic_myeloid_leukaemia","GDSC2","200"
"Becker","SIDM00490","906746","GBM","nervous_system","glioma","GDSC1","391"
"Becker","SIDM00490","906746","GBM","nervous_system","glioma","GDSC2","282"
"BxPC-3","SIDM00132","906693","PAAD","pancreas","pancreas","GDSC1","346"
"BxPC-3","SIDM00132","906693","PAAD","pancreas","pancreas","GDSC2","282"
"C-33-A","SIDM00889","687505","CESC","urogenital_system","cervix","GDSC1","344"
"C-33-A","SIDM00889","687505","CESC","urogenital_system","cervix","GDSC2","282"
"C-4-I","SIDM00905","687506","CESC","urogenital_system","cervix","GDSC1","328"
"C-4-I","SIDM00905","687506","CESC","urogenital_system","cervix","GDSC2","280"
"C2BBe1","SIDM01233","910700","COREAD","digestive_system","large_intestine","GDSC1","360"
"C2BBe1","SIDM01233","910700","COREAD","digestive_system","large_intestine","GDSC2","282"
"C32","SIDM00890","906830","SKCM","skin","melanoma","GDSC1","357"
"C32","SIDM00890","906830","SKCM","skin","melanoma","GDSC2","296"
"C3A","SIDM01237","910850","LIHC","digestive_system","liver","GDSC1","345"
"C3A","SIDM01237","910850","LIHC","digestive_system","liver","GDSC2","281"
"CA46","SIDM00907","910703","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","385"
"CA46","SIDM00907","910703","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC2","281"
"CADO-ES1","SIDM00961","753539","UNCLASSIFIED","bone","ewings_sarcoma","GDSC1","310"
"CADO-ES1","SIDM00961","753539","UNCLASSIFIED","bone","ewings_sarcoma","GDSC2","281"
"CAKI-1","SIDM00941","905963","KIRC","kidney","kidney","GDSC1","347"
"CAKI-1","SIDM00941","905963","KIRC","kidney","kidney","GDSC2","179"
"CAL-120","SIDM00940","906826","BRCA","breast","breast","GDSC1","347"
"CAL-120","SIDM00940","906826","BRCA","breast","breast","GDSC2","285"
"CAL-12T","SIDM00939","753540","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC1","353"
"CAL-12T","SIDM00939","753540","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC2","180"
"CAL-148","SIDM00938","924106","BRCA","breast","breast","GDSC1","217"
"CAL-148","SIDM00938","924106","BRCA","breast","breast","GDSC2","173"
"CAL-27","SIDM00937","910916","HNSC","aero_digestive_tract","head_and_neck","GDSC1","352"
"CAL-27","SIDM00937","910916","HNSC","aero_digestive_tract","head_and_neck","GDSC2","281"
"CAL-29","SIDM00936","1290730","BLCA","urogenital_system","bladder","GDSC1","345"
"CAL-29","SIDM00936","1290730","BLCA","urogenital_system","bladder","GDSC2","281"
"CAL-33","SIDM00942","753541","HNSC","aero_digestive_tract","head_and_neck","GDSC1","340"
"CAL-33","SIDM00942","753541","HNSC","aero_digestive_tract","head_and_neck","GDSC2","281"
"CAL-39","SIDM00935","924107","CESC","urogenital_system","cervix","GDSC1","346"
"CAL-39","SIDM00935","924107","CESC","urogenital_system","cervix","GDSC2","282"
"CAL-51","SIDM00933","910927","BRCA","breast","breast","GDSC1","345"
"CAL-51","SIDM00933","910927","BRCA","breast","breast","GDSC2","285"
"CAL-54","SIDM00932","910952","KIRC","kidney","kidney","GDSC1","347"
"CAL-54","SIDM00932","910952","KIRC","kidney","kidney","GDSC2","282"
"CAL-62","SIDM00931","906828","THCA","thyroid","thyroid","GDSC1","343"
"CAL-62","SIDM00931","906828","THCA","thyroid","thyroid","GDSC2","282"
"CAL-72","SIDM00930","906827","UNCLASSIFIED","bone","osteosarcoma","GDSC1","347"
"CAL-72","SIDM00930","906827","UNCLASSIFIED","bone","osteosarcoma","GDSC2","281"
"CAL-78","SIDM00929","1290765","UNCLASSIFIED","bone","chondrosarcoma","GDSC1","331"
"CAL-78","SIDM00929","1290765","UNCLASSIFIED","bone","chondrosarcoma","GDSC2","281"
"CAL-85-1","SIDM00928","910852","BRCA","breast","breast","GDSC1","346"
"CAL-85-1","SIDM00928","910852","BRCA","breast","breast","GDSC2","286"
"CAMA-1","SIDM00920","946382","BRCA","breast","breast","GDSC1","347"
"CAMA-1","SIDM00920","946382","BRCA","breast","breast","GDSC2","286"
"CAPAN-1","SIDM00934","753624","PAAD","pancreas","pancreas","GDSC1","320"
"CAPAN-1","SIDM00934","753624","PAAD","pancreas","pancreas","GDSC2","282"
"CAPAN-2","SIDM00943","910915","PAAD","pancreas","pancreas","GDSC1","327"
"CAPAN-2","SIDM00943","910915","PAAD","pancreas","pancreas","GDSC2","261"
"CAS-1","SIDM00212","910943","GBM","nervous_system","glioma","GDSC1","393"
"CAS-1","SIDM00212","910943","GBM","nervous_system","glioma","GDSC2","280"
"CCK-81","SIDM00487","1240123","COREAD","digestive_system","large_intestine","GDSC1","353"
"CCK-81","SIDM00487","1240123","COREAD","digestive_system","large_intestine","GDSC2","283"
"CCRF-CEM","SIDM00121","905952","ALL","blood","lymphoblastic_leukemia","GDSC1","378"
"CCRF-CEM","SIDM00121","905952","ALL","blood","lymphoblastic_leukemia","GDSC2","281"
"CESS","SIDM00917","910688","LAML","blood","acute_myeloid_leukaemia","GDSC1","381"
"CESS","SIDM00917","910688","LAML","blood","acute_myeloid_leukaemia","GDSC2","280"
"CFPAC-1","SIDM00130","906821","PAAD","pancreas","pancreas","GDSC1","346"
"CFPAC-1","SIDM00130","906821","PAAD","pancreas","pancreas","GDSC2","281"
"CGTH-W-1","SIDM01248","910568","THCA","thyroid","thyroid","GDSC1","354"
"CGTH-W-1","SIDM01248","910568","THCA","thyroid","thyroid","GDSC2","170"
"CHL-1","SIDM01228","910853","SKCM","skin","melanoma","GDSC1","346"
"CHL-1","SIDM01228","910853","SKCM","skin","melanoma","GDSC2","281"
"CHP-126","SIDM00286","910567","NB","nervous_system","neuroblastoma","GDSC1","317"
"CHP-126","SIDM00286","910567","NB","nervous_system","neuroblastoma","GDSC2","179"
"CHP-134","SIDM00285","910941","NB","nervous_system","neuroblastoma","GDSC1","158"
"CHP-134","SIDM00285","910941","NB","nervous_system","neuroblastoma","GDSC2","240"
"CHP-212","SIDM00910","906820","NB","nervous_system","neuroblastoma","GDSC1","321"
"CHP-212","SIDM00910","906820","NB","nervous_system","neuroblastoma","GDSC2","280"
"CHSA0011","SIDM00051","1290767","UNCLASSIFIED","bone","chondrosarcoma","GDSC1","301"
"CHSA0011","SIDM00051","1290767","UNCLASSIFIED","bone","chondrosarcoma","GDSC2","180"
"CHSA0108","SIDM00050","1290768","UNCLASSIFIED","bone","chondrosarcoma","GDSC1","301"
"CHSA0108","SIDM00050","1290768","UNCLASSIFIED","bone","chondrosarcoma","GDSC2","179"
"CHSA8926","SIDM00176","1303912","UNCLASSIFIED","bone","chondrosarcoma","GDSC1","349"
"CHSA8926","SIDM00176","1303912","UNCLASSIFIED","bone","chondrosarcoma","GDSC2","281"
"CL-11","SIDM00944","1290769","COREAD","digestive_system","large_intestine","GDSC1","391"
"CL-11","SIDM00944","1290769","COREAD","digestive_system","large_intestine","GDSC2","282"
"CMK","SIDM00959","910566","LAML","blood","acute_myeloid_leukaemia","GDSC1","168"
"CML-T1","SIDM00958","910951","LCML","blood","chronic_myeloid_leukaemia","GDSC1","184"
"CML-T1","SIDM00958","910951","LCML","blood","chronic_myeloid_leukaemia","GDSC2","282"
"COLO-205","SIDM00826","905961","COREAD","digestive_system","large_intestine","GDSC1","343"
"COLO-205","SIDM00826","905961","COREAD","digestive_system","large_intestine","GDSC2","282"
"COLO-320-HSR","SIDM00842","910569","COREAD","digestive_system","large_intestine","GDSC1","386"
"COLO-320-HSR","SIDM00842","910569","COREAD","digestive_system","large_intestine","GDSC2","283"
"COLO-668","SIDM00143","910692","SCLC","lung","lung_small_cell_carcinoma","GDSC1","394"
"COLO-668","SIDM00143","910692","SCLC","lung","lung_small_cell_carcinoma","GDSC2","282"
"COLO-678","SIDM00957","910689","COREAD","digestive_system","large_intestine","GDSC1","346"
"COLO-678","SIDM00957","910689","COREAD","digestive_system","large_intestine","GDSC2","282"
"COLO-679","SIDM00284","906818","SKCM","skin","melanoma","GDSC1","345"
"COLO-679","SIDM00284","906818","SKCM","skin","melanoma","GDSC2","282"
"COLO-680N","SIDM00956","906817","ESCA","aero_digestive_tract","oesophagus","GDSC1","347"
"COLO-680N","SIDM00956","906817","ESCA","aero_digestive_tract","oesophagus","GDSC2","282"
"COLO-684","SIDM00142","910691","UCEC","urogenital_system","endometrium","GDSC1","398"
"COLO-684","SIDM00142","910691","UCEC","urogenital_system","endometrium","GDSC2","281"
"COLO-783","SIDM00955","1240125","SKCM","skin","melanoma","GDSC1","338"
"COLO-783","SIDM00955","1240125","SKCM","skin","melanoma","GDSC2","179"
"COLO-792","SIDM00140","906814","SKCM","skin","melanoma","GDSC1","308"
"COLO-792","SIDM00140","906814","SKCM","skin","melanoma","GDSC2","280"
"COLO-800","SIDM00515","906813","SKCM","skin","melanoma","GDSC1","389"
"COLO-800","SIDM00515","906813","SKCM","skin","melanoma","GDSC2","180"
"COLO-824","SIDM00954","906812","BRCA","breast","breast","GDSC1","387"
"COLO-824","SIDM00954","906812","BRCA","breast","breast","GDSC2","284"
"COLO-829","SIDM00909","687448","SKCM","skin","melanoma","GDSC1","378"
"COLO-829","SIDM00909","687448","SKCM","skin","melanoma","GDSC2","280"
"COR-L105","SIDM00513","906805","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","345"
"COR-L105","SIDM00513","906805","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC2","282"
"COR-L23","SIDM00512","687780","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","353"
"COR-L23","SIDM00512","687780","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC2","281"
"COR-L279","SIDM00511","910937","SCLC","lung","lung_small_cell_carcinoma","GDSC1","168"
"COR-L279","SIDM00511","910937","SCLC","lung","lung_small_cell_carcinoma","GDSC2","168"
"COR-L303","SIDM00510","1297438","SCLC","lung","lung_small_cell_carcinoma","GDSC1","134"
"COR-L303","SIDM00510","1297438","SCLC","lung","lung_small_cell_carcinoma","GDSC2","179"
"COR-L311","SIDM00509","687980","SCLC","lung","lung_small_cell_carcinoma","GDSC1","118"
"COR-L311","SIDM00509","687980","SCLC","lung","lung_small_cell_carcinoma","GDSC2","281"
"COR-L32","SIDM00508","1322212","SCLC","lung","lung_small_cell_carcinoma","GDSC1","100"
"COR-L32","SIDM00508","1322212","SCLC","lung","lung_small_cell_carcinoma","GDSC2","194"
"COR-L321","SIDM00507","1322213","UNCLASSIFIED","lung","lung_other","GDSC1","303"
"COR-L321","SIDM00507","1322213","UNCLASSIFIED","lung","lung_other","GDSC2","178"
"COR-L88","SIDM00506","906808","SCLC","lung","lung_small_cell_carcinoma","GDSC1","385"
"COR-L88","SIDM00506","906808","SCLC","lung","lung_small_cell_carcinoma","GDSC2","170"
"COR-L95","SIDM00521","1297439","SCLC","lung","lung_small_cell_carcinoma","GDSC1","369"
"COR-L95","SIDM00521","1297439","SCLC","lung","lung_small_cell_carcinoma","GDSC2","99"
"CP50-MEL-B","SIDM00175","753545","SKCM","skin","melanoma","GDSC1","344"
"CP50-MEL-B","SIDM00175","753545","SKCM","skin","melanoma","GDSC2","180"
"CP66-MEL","SIDM00190","753546","SKCM","skin","melanoma","GDSC1","387"
"CP66-MEL","SIDM00190","753546","SKCM","skin","melanoma","GDSC2","257"
"CP67-MEL","SIDM00189","949092","SKCM","skin","melanoma","GDSC1","23"
"CPC-N","SIDM00953","753547","SCLC","lung","lung_small_cell_carcinoma","GDSC1","385"
"CPC-N","SIDM00953","753547","SCLC","lung","lung_small_cell_carcinoma","GDSC2","281"
"CRO-AP2","SIDM00952","906807","DLBC","blood","B_cell_lymphoma","GDSC1","174"
"CRO-AP2","SIDM00952","906807","DLBC","blood","B_cell_lymphoma","GDSC2","178"
"CS1","SIDM00199","1290795","UNCLASSIFIED","bone","bone_other","GDSC1","353"
"CS1","SIDM00199","1290795","UNCLASSIFIED","bone","bone_other","GDSC2","244"
"CTB-1","SIDM00283","949088","DLBC","blood","B_cell_lymphoma","GDSC1","385"
"CTB-1","SIDM00283","949088","DLBC","blood","B_cell_lymphoma","GDSC2","184"
"CTV-1","SIDM00951","753548","LAML","blood","acute_myeloid_leukaemia","GDSC1","385"
"CTV-1","SIDM00951","753548","LAML","blood","acute_myeloid_leukaemia","GDSC2","280"
"CW-2","SIDM00282","910554","COREAD","digestive_system","large_intestine","GDSC1","388"
"CW-2","SIDM00282","910554","COREAD","digestive_system","large_intestine","GDSC2","283"
"Ca-Ski","SIDM00923","906824","CESC","urogenital_system","cervix","GDSC1","345"
"Ca-Ski","SIDM00923","906824","CESC","urogenital_system","cervix","GDSC2","282"
"Ca9-22","SIDM00489","753538","HNSC","aero_digestive_tract","head_and_neck","GDSC1","347"
"Ca9-22","SIDM00489","753538","HNSC","aero_digestive_tract","head_and_neck","GDSC2","282"
"CaR-1","SIDM00488","924108","COREAD","digestive_system","large_intestine","GDSC1","344"
"CaR-1","SIDM00488","924108","COREAD","digestive_system","large_intestine","GDSC2","283"
"Calu-3","SIDM00922","687777","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","354"
"Calu-3","SIDM00922","687777","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC2","282"
"Calu-6","SIDM00921","724859","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","386"
"Calu-6","SIDM00921","724859","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC2","281"
"Caov-3","SIDM00919","906825","OV","urogenital_system","ovary","GDSC1","178"
"Caov-3","SIDM00919","906825","OV","urogenital_system","ovary","GDSC2","184"
"Caov-4","SIDM00918","949090","OV","urogenital_system","ovary","GDSC1","330"
"Caov-4","SIDM00918","949090","OV","urogenital_system","ovary","GDSC2","169"
"ChaGo-K-1","SIDM00924","687596","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC1","346"
"ChaGo-K-1","SIDM00924","687596","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC2","180"
"D-245MG","SIDM01021","946366","GBM","nervous_system","glioma","GDSC2","180"
"D-247MG","SIDM00622","946367","GBM","nervous_system","glioma","GDSC1","359"
"D-247MG","SIDM00622","946367","GBM","nervous_system","glioma","GDSC2","180"
"D-263MG","SIDM00732","946368","GBM","nervous_system","glioma","GDSC1","394"
"D-263MG","SIDM00732","946368","GBM","nervous_system","glioma","GDSC2","281"
"D-283MED","SIDM00888","906834","MB","nervous_system","medulloblastoma","GDSC1","388"
"D-283MED","SIDM00888","906834","MB","nervous_system","medulloblastoma","GDSC2","281"
"D-336MG","SIDM00620","946369","LGG","nervous_system","glioma","GDSC1","354"
"D-336MG","SIDM00620","946369","LGG","nervous_system","glioma","GDSC2","180"
"D-392MG","SIDM00542","946370","GBM","nervous_system","glioma","GDSC1","369"
"D-392MG","SIDM00542","946370","GBM","nervous_system","glioma","GDSC2","282"
"D-423MG","SIDM00209","946372","GBM","nervous_system","glioma","GDSC1","348"
"D-423MG","SIDM00209","946372","GBM","nervous_system","glioma","GDSC2","179"
"D-502MG","SIDM00208","946373","LGG","nervous_system","glioma","GDSC1","387"
"D-502MG","SIDM00208","946373","LGG","nervous_system","glioma","GDSC2","180"
"D-542MG","SIDM00207","753549","GBM","nervous_system","glioma","GDSC1","368"
"D-542MG","SIDM00207","753549","GBM","nervous_system","glioma","GDSC2","180"
"D-566MG","SIDM00206","946377","GBM","nervous_system","glioma","GDSC1","338"
"D-566MG","SIDM00206","946377","GBM","nervous_system","glioma","GDSC2","179"
"DAN-G","SIDM00950","1290797","PAAD","pancreas","pancreas","GDSC1","318"
"DAN-G","SIDM00950","1290797","PAAD","pancreas","pancreas","GDSC2","280"
"DB","SIDM00886","906832","DLBC","blood","B_cell_lymphoma","GDSC1","381"
"DB","SIDM00886","906832","DLBC","blood","B_cell_lymphoma","GDSC2","281"
"DBTRG-05MG","SIDM00867","906835","GBM","nervous_system","glioma","GDSC1","347"
"DBTRG-05MG","SIDM00867","906835","GBM","nervous_system","glioma","GDSC2","281"
