,Drug_ID,Cell Line_ID,Y
69,Camptothecin,MDA-MB-415,0.57138
70,Camptothecin,MDA-MB-157,-0.618514
71,Camptothecin,BT-474,3.556764
72,Camptothecin,CAMA-1,-0.630463
73,Camptothecin,BT-483,2.115236
74,Camptothecin,LS-180,-2.866705
75,Camptothecin,CCK-81,-2.553237
76,Camptothecin,CL-40,-3.868761
77,Camptothecin,MDA-MB-436,-1.635276
78,Camptothecin,MDST8,-3.645002
79,Camptothecin,CL-11,-1.605026
80,Camptothecin,CL-34,-2.68195
81,Camptothecin,EFM-192A,1.431538
82,Camptothecin,HCC1428,2.703446
83,Camptothecin,HDQ-P1,-1.283605
84,Camptothecin,JIMT-1,-0.897835
85,Camptothecin,HCC1500,-1.085408
86,Camptothecin,MDA-MB-330,2.042513
87,Camptothecin,SNU-1040,0.754433
88,Camptothecin,SNU-175,-3.412054
89,Camptothecin,SNU-407,-1.425613
90,Camptothecin,SNU-81,-0.333842
91,Camptothecin,SNU-C5,-2.502602
92,Camptothecin,MC-CAR,-1.746082
93,Camptothecin,PFSK-1,-2.006249
94,Camptothecin,A673,-4.962337
95,Camptothecin,ES5,-2.509709
96,Camptothecin,ES7,-5.239445
97,Camptothecin,EW-11,-4.372936
98,Camptothecin,SK-ES-1,-5.109751
99,Camptothecin,COLO-829,-1.206706
100,Camptothecin,5637,-2.31453
101,Camptothecin,RT4,-2.798417
102,Camptothecin,SW780,-1.647826
103,Camptothecin,TCCSUP,-1.865504
104,Camptothecin,C-33-A,-3.640911
105,Camptothecin,C-4-I,-1.73874
106,Camptothecin,ME-180,-3.594401
107,Camptothecin,42-MG-BA,-2.906706
108,Camptothecin,8-MG-BA,-4.584382
109,Camptothecin,A172,-3.1084
110,Camptothecin,GB-1,-3.149507
111,Camptothecin,T98G,-2.376573
112,Camptothecin,U-118-MG,-3.166476
113,Camptothecin,U-87-MG,-2.951987
114,Camptothecin,NCI-H720,0.782097
115,Camptothecin,Calu-3,-1.993318
116,Camptothecin,COR-L23,-1.403354
117,Camptothecin,LK-2,-0.171871
118,Camptothecin,NCI-H1623,-4.176086
119,Camptothecin,NCI-H1648,-2.817891
120,Camptothecin,NCI-H1650,0.736513
121,Camptothecin,NCI-H1693,0.889164
122,Camptothecin,NCI-H1838,0.975556
123,Camptothecin,NCI-H2085,0.192718
124,Camptothecin,NCI-H2170,-3.96132
125,Camptothecin,NCI-H2228,-2.871827
126,Camptothecin,NCI-H2342,0.385774
127,Camptothecin,NCI-H2347,2.099821
128,Camptothecin,NCI-H2405,0.351629
129,Camptothecin,NCI-H661,0.358145
130,Camptothecin,COR-L311,-4.067723
131,Camptothecin,DMS-114,-1.263248
132,Camptothecin,DMS-273,-2.533841
133,Camptothecin,NCI-H1048,-4.198541
134,Camptothecin,NCI-H1092,-0.57976
135,Camptothecin,NCI-H1417,-4.428952
136,Camptothecin,NCI-H1694,-4.490594
137,Camptothecin,NCI-H1963,-2.762755
138,Camptothecin,NCI-H2029,-1.705886
139,Camptothecin,NCI-H209,-5.568987
140,Camptothecin,NCI-H2141,-0.940381
141,Camptothecin,NCI-H2227,-2.031672
142,Camptothecin,NCI-H345,0.454577
143,Camptothecin,NCI-H446,-2.022564
144,Camptothecin,NCI-H526,-4.97758
145,Camptothecin,NCI-H64,1.7959
146,Camptothecin,NCI-H69,-1.749722
147,Camptothecin,NCI-H82,-2.897812
148,Camptothecin,NCI-H2052,-1.877104
149,Camptothecin,SK-N-DZ,-4.267147
150,Camptothecin,SK-N-FI,-2.010414
151,Camptothecin,VA-ES-BJ,-3.404986
152,Camptothecin,VMRC-LCD,1.293788
153,Camptothecin,LU-139,-1.858484
154,Camptothecin,SBC-5,-3.689053
155,Camptothecin,LU-135,-2.420763
156,Camptothecin,SK-N-SH,-2.89981
157,Camptothecin,NCI-H2122,-3.085383
158,Camptothecin,NCI-H650,-2.645933
159,Camptothecin,NCI-H929,-3.606339
160,Camptothecin,SK-N-AS,-2.487864
161,Camptothecin,NCI-H1299,-2.306297
162,Camptothecin,NCI-H2087,-3.273861
163,Camptothecin,UM-UC-3,-3.862462
164,Camptothecin,SW756,-1.963715
165,Camptothecin,NCI-H727,0.197419
166,Camptothecin,Calu-6,-2.369109
167,Camptothecin,LU-65,-2.348864
168,Camptothecin,NCI-H1355,0.96823
169,Camptothecin,NCI-H1792,-3.601037
170,Camptothecin,HPAF-II,-0.296583
171,Camptothecin,MIA-PaCa-2,-2.700202
172,Camptothecin,SHP-77,-1.207314
173,Camptothecin,NCI-H2009,-2.856155
174,Camptothecin,SW1573,-2.379578
175,Camptothecin,SW900,-2.123844
176,Camptothecin,TE-5,-2.931252
177,Camptothecin,BB49-HNC,-2.027031
178,Camptothecin,Ca9-22,-3.253273
179,Camptothecin,CADO-ES1,-5.147479
180,Camptothecin,CAL-33,-3.746636
181,Camptothecin,CP66-MEL,-0.525514
182,Camptothecin,CPC-N,-1.176761
183,Camptothecin,CTV-1,-4.538412
184,Camptothecin,DMS-79,-4.347583
185,Camptothecin,DSH1,-3.453712
186,Camptothecin,EBC-1,-4.083769
187,Camptothecin,EC-GI-10,-3.049552
188,Camptothecin,EPLC-272H,-0.851197
189,Camptothecin,HA7-RCC,-2.626678
190,Camptothecin,HO-1-u-1,-2.98966
191,Camptothecin,HSC-2,-4.417918
192,Camptothecin,IM-9,-5.22851
193,Camptothecin,IST-SL2,-4.858818
194,Camptothecin,J82,-2.47785
195,Camptothecin,KNS-62,-2.516114
196,Camptothecin,KP-4,-3.28912
197,Camptothecin,KYSE-140,-1.045508
198,Camptothecin,KYSE-410,0.771646
199,Camptothecin,KYSE-520,2.169185
200,Camptothecin,KYSE-70,1.916677
201,Camptothecin,LB771-HNC,0.688279
202,Camptothecin,LB831-BLC,-2.919106
203,Camptothecin,LB996-RCC,-4.202557
204,Camptothecin,LCLC-103H,-1.426858
205,Camptothecin,LU-165,-0.865251
206,Camptothecin,LXF-289,-1.730596
207,Camptothecin,MS-1,-2.561421
208,Camptothecin,NCI-H1563,1.035792
209,Camptothecin,NCI-H835,-0.513289
210,Camptothecin,PC-14,-1.608937
211,Camptothecin,SBC-3,-4.597033
212,Camptothecin,SK-MM-2,-3.770258
213,Camptothecin,TE-15,-4.069639
214,Camptothecin,U-266,-1.293384
215,Camptothecin,BE2-M17,-2.616148
216,Camptothecin,KELLY,-4.337626
217,Camptothecin,SIMA,-4.39292
218,Camptothecin,TE-1,-1.257903
219,Camptothecin,TE-8,-2.570067
220,Camptothecin,CAPAN-1,-3.660655
221,Camptothecin,OVCAR-3,-0.267795
222,Camptothecin,PC-3,-1.016106
223,Camptothecin,DU-145,-3.161246
224,Camptothecin,HL-60,-4.551981
225,Camptothecin,K-562,-1.978469
226,Camptothecin,NCI-H226,1.226427
227,Camptothecin,NCI-H23,-2.606447
228,Camptothecin,NCI-H522,-1.673023
229,Camptothecin,786-0,-3.494502
230,Camptothecin,A498,-0.524668
231,Camptothecin,A549,-3.187084
232,Camptothecin,ACHN,-4.133949
233,Camptothecin,CCRF-CEM,-4.928022
234,Camptothecin,SK-MEL-2,-0.334741
235,Camptothecin,SK-MEL-5,-2.567593
236,Camptothecin,MOLT-4,-4.698154
237,Camptothecin,SK-OV-3,-1.186707
238,Camptothecin,RPMI-8226,-4.080889
239,Camptothecin,SR,-5.487077
240,Camptothecin,NCI-H322M,-1.322585
241,Camptothecin,IGROV-1,-2.717918
242,Camptothecin,OVCAR-5,0.809877
243,Camptothecin,EKVX,1.548754
244,Camptothecin,HOP-62,-2.544042
245,Camptothecin,HOP-92,-1.411598
246,Camptothecin,LOXIMVI,-3.285912
247,Camptothecin,M14,-2.95937
248,Camptothecin,UACC-62,-3.641147
249,Camptothecin,UACC-257,0.832252
250,Camptothecin,RXF393,-0.775119
251,Camptothecin,SN12C,-1.377338
252,Camptothecin,TK10,0.606507
253,Camptothecin,U251,-3.235664
254,Camptothecin,SF539,-3.708391
255,Camptothecin,SF268,-2.687051
256,Camptothecin,OVCAR-4,1.164653
257,Camptothecin,OVCAR-8,-3.046866
258,Camptothecin,BxPC-3,-1.452904
259,Camptothecin,BHT-101,-3.296968
260,Camptothecin,Becker,-2.705066
261,Camptothecin,BE-13,-3.502694
262,Camptothecin,ARH-77,-4.68342
263,Camptothecin,AGS,-3.266368
264,Camptothecin,ABC-1,-1.588587
265,Camptothecin,A2058,-3.757428
266,Camptothecin,A375,-4.517416
267,Camptothecin,A253,-2.78054
268,Camptothecin,8305C,-1.209881
269,Camptothecin,647-V,-4.410302
270,Camptothecin,639-V,-5.115998
271,Camptothecin,697,-5.004851
272,Camptothecin,A2780,-3.737636
273,Camptothecin,COR-L105,-0.263685
274,Camptothecin,COR-L88,-1.586349
275,Camptothecin,COLO-792,0.553206
276,Camptothecin,COLO-680N,0.31303
277,Camptothecin,COLO-679,-2.260701
278,Camptothecin,CHP-212,-3.85745
279,Camptothecin,CFPAC-1,-3.486215
280,Camptothecin,Ca-Ski,-3.320781
281,Camptothecin,CAL-72,-2.838601
282,Camptothecin,CAL-62,-4.06752
283,Camptothecin,C32,-3.015398
284,Camptothecin,Daudi,-3.69488
285,Camptothecin,DB,-4.506183
286,Camptothecin,Daoy,-4.484032
287,Camptothecin,D-283MED,-4.643568
288,Camptothecin,DBTRG-05MG,0.019731
289,Camptothecin,DEL,-5.358062
290,Camptothecin,Detroit562,-2.760316
291,Camptothecin,DG-75,-2.115168
292,Camptothecin,DK-MG,1.312427
293,Camptothecin,DOHH-2,-5.780752
294,Camptothecin,DoTc2-4510,-2.513168
295,Camptothecin,EB2,-4.683771
296,Camptothecin,EB-3,-2.658751
297,Camptothecin,ECC10,-2.953516
298,Camptothecin,ECC12,-1.707809
299,Camptothecin,EFO-27,-0.84306
300,Camptothecin,EGI-1,2.652026
301,Camptothecin,EM-2,-4.282016
302,Camptothecin,EoL-1-cell,-4.169704
303,Camptothecin,ETK-1,-1.191764
304,Camptothecin,FADU,-3.873749
305,Camptothecin,FTC-133,-3.359043
306,Camptothecin,G-361,-1.225834
307,Camptothecin,GAMG,-2.450669
308,Camptothecin,GCIY,-2.48859
309,Camptothecin,GDM-1,-4.409995
310,Camptothecin,GI-1,-3.628604
311,Camptothecin,GI-ME-N,-0.0167
312,Camptothecin,GMS-10,-4.526351
313,Camptothecin,GOTO,-3.266196
314,Camptothecin,GR-ST,-3.89463
315,Camptothecin,GCT,-2.959694
316,Camptothecin,ESS-1,-4.997052
317,Camptothecin,H4,-4.847862
318,Camptothecin,H9,-4.676639
319,Camptothecin,HC-1,-4.995086
320,Camptothecin,HD-MY-Z,1.063625
321,Camptothecin,HEC-1,0.758196
322,Camptothecin,HEL,-4.132766
323,Camptothecin,HGC-27,-1.7846
324,Camptothecin,HH,1.692486
325,Camptothecin,HLE,-3.792605
326,Camptothecin,HMV-II,-1.835925
327,Camptothecin,HOS,-3.017332
328,Camptothecin,HSC-3,-3.907213
329,Camptothecin,HSC-4,-3.195973
330,Camptothecin,HT-1080,-0.817971
331,Camptothecin,HT-1197,-0.916833
332,Camptothecin,HT-1376,2.60138
333,Camptothecin,HT-144,-1.859199
334,Camptothecin,HT-3,-3.520035
335,Camptothecin,HuCCT1,-1.779282
336,Camptothecin,HuH-7,1.764023
337,Camptothecin,HuO9,-4.610425
338,Camptothecin,HuTu-80,-3.547167
339,Camptothecin,IGR-1,-0.776289
340,Camptothecin,IMR-5,-4.393695
341,Camptothecin,IST-MEL1,-2.312575
342,Camptothecin,IST-MES1,-2.420773
343,Camptothecin,JiyoyeP-2003,-3.36021
344,Camptothecin,JVM-2,-4.935602
345,Camptothecin,JVM-3,-5.973858
346,Camptothecin,KALS-1,-0.198175
347,Camptothecin,KARPAS-45,-1.79544
348,Camptothecin,KARPAS-299,-3.480534
349,Camptothecin,KARPAS-422,-3.354039
350,Camptothecin,KASUMI-1,-2.237873
351,Camptothecin,KATOIII,1.644029
352,Camptothecin,KE-37,-4.84747
353,Camptothecin,KG-1,-3.441868
354,Camptothecin,KINGS-1,1.152322
355,Camptothecin,KMOE-2,-2.633582
356,Camptothecin,KMS-12-BM,-2.793419
357,Camptothecin,HuP-T3,-0.960316
358,Camptothecin,HuP-T4,-3.378933
359,Camptothecin,H-EMC-SS,-1.873206
360,Camptothecin,DMS-53,-3.324535
361,Camptothecin,G-402,-2.858603
362,Camptothecin,G-401,-3.444165
363,Camptothecin,KY821,-4.727499
364,Camptothecin,KU812,-3.721304
365,Camptothecin,KU-19-19,-3.671613
366,Camptothecin,KS-1,-0.966944
367,Camptothecin,KP-N-YN,-3.712882
368,Camptothecin,KYSE-150,-2.836104
369,Camptothecin,KYSE-180,-1.458124
370,Camptothecin,KYSE-270,-3.107823
371,Camptothecin,KYSE-450,-1.093072
372,Camptothecin,KYSE-510,-3.589482
373,Camptothecin,L-428,-3.402329
374,Camptothecin,L-540,-4.949094
375,Camptothecin,LAMA-84,-4.366763
376,Camptothecin,LC4-1,-4.801399
377,Camptothecin,LNCaP-Clone-FGC,-3.534387
378,Camptothecin,LOUCY,-2.351893
379,Camptothecin,LP-1,2.124949
380,Camptothecin,LU-99A,-1.392159
381,Camptothecin,MEL-JUSO,0.292833
382,Camptothecin,MEG-01,-3.499339
383,Camptothecin,MES-SA,-2.734509
384,Camptothecin,Mewo,-0.301909
385,Camptothecin,MFE-280,-0.20899
386,Camptothecin,MFE-296,-1.393899
387,Camptothecin,MG-63,-3.082263
388,Camptothecin,MHH-CALL-2,-4.695121
389,Camptothecin,MHH-PREB-1,-2.319071
390,Camptothecin,MKN1,-0.870755
391,Camptothecin,MKN28,1.186429
392,Camptothecin,ML-2,-4.464037
393,Camptothecin,MLMA,-3.531439
394,Camptothecin,MN-60,-3.258943
395,Camptothecin,MOG-G-CCM,-0.646514
396,Camptothecin,MOG-G-UVW,-4.02278
397,Camptothecin,MOLT-13,-4.638019
398,Camptothecin,MOLT-16,-5.406316
399,Camptothecin,MONO-MAC-6,-4.079495
400,Camptothecin,Mo-T,-2.907553
401,Camptothecin,MPP-89,-1.778965
402,Camptothecin,MSTO-211H,-3.018823
403,Camptothecin,MV-4-11,-5.446414
404,Camptothecin,NALM-6,-4.962984
405,Camptothecin,NAMALWA,-5.064652
406,Camptothecin,NB69,-4.989476
407,Camptothecin,NCCIT,-0.939678
408,Camptothecin,NCI-H520,-0.815051
409,Camptothecin,SNU-1,-2.994779
410,Camptothecin,SNU-5,-4.842051
411,Camptothecin,SNU-16,-3.358669
412,Camptothecin,NH-12,-4.2433
413,Camptothecin,NKM-1,-4.486932
414,Camptothecin,NOMO-1,-3.832515
415,Camptothecin,NTERA-2-cl-D1,-3.995591
416,Camptothecin,NUGC-3,-3.946609
417,Camptothecin,NCI-H596,0.490403
418,Camptothecin,NCI-H441,-0.491825
419,Camptothecin,NCI-N87,-0.832855
420,Camptothecin,NCI-H2452,-0.962559
421,Camptothecin,NCI-H1793,-1.238479
422,Camptothecin,NCI-H358,-0.826978
423,Camptothecin,NCI-H1155,-4.554415
424,Camptothecin,NCI-H28,-0.413604
425,Camptothecin,NCI-H1581,-2.08122
426,Camptothecin,NCI-H1573,1.769308
427,Camptothecin,NCI-H1666,-1.869024
428,Camptothecin,NCI-H1703,-3.040055
429,Camptothecin,NCI-H1755,-0.642305
430,Camptothecin,NCI-H1993,-1.619025
431,Camptothecin,NCI-H524,-2.246462
432,Camptothecin,ONS-76,-1.696048
433,Camptothecin,OPM-2,-2.720962
434,Camptothecin,OS-RC-2,-0.447455
435,Camptothecin,P12-ICHIKAWA,-5.035286
436,Camptothecin,P30-OHK,-4.307305
437,Camptothecin,P31-FUJ,-3.798669
438,Camptothecin,PA-1,-3.836096
439,Camptothecin,OC-314,-4.030601
440,Camptothecin,PF-382,-4.327046
441,Camptothecin,Raji,-4.687502
442,Camptothecin,RD,-0.660889
443,Camptothecin,REH,-4.267182
444,Camptothecin,RF-48,-4.302873
445,Camptothecin,RMG-I,-0.141942
446,Camptothecin,RPMI-6666,-4.938467
447,Camptothecin,RPMI-8402,-5.308849
448,Camptothecin,RS4-11,-4.720065
449,Camptothecin,RT-112,-0.859388
450,Camptothecin,Saos-2,-2.897408
451,Camptothecin,SAS,-4.799467
452,Camptothecin,SCC-9,-0.594718
453,Camptothecin,SH-4,-2.065461
454,Camptothecin,SJRH30,-1.662694
455,Camptothecin,SJSA-1,-2.781912
456,Camptothecin,SK-HEP-1,-2.06362
457,Camptothecin,SK-LMS-1,-3.815215
458,Camptothecin,SK-LU-1,-3.25748
459,Camptothecin,SKM-1,-4.30607
460,Camptothecin,SK-MEL-1,-1.360977
461,Camptothecin,SK-MEL-24,-2.96794
462,Camptothecin,SK-MES-1,-2.863123
463,Camptothecin,SK-MG-1,-0.967639
464,Camptothecin,SK-PN-DW,-4.720396
465,Camptothecin,SK-UT-1,-3.332248
466,Camptothecin,SNG-M,-1.811575
467,Camptothecin,SNU-387,1.729927
468,Camptothecin,SNU-423,-1.914554
469,Camptothecin,SNU-449,0.600121
470,Camptothecin,SUP-T1,-4.73357
471,Camptothecin,SW13,-4.543639
472,Camptothecin,SW1088,-1.5951
473,Camptothecin,SW1116,-0.260577
474,Camptothecin,SW1710,-0.540361
475,Camptothecin,SW1783,-3.945857
476,Camptothecin,SW626,-0.608
477,Camptothecin,SW684,1.948338
478,Camptothecin,SW872,-3.816316
479,Camptothecin,SW982,-4.013152
480,Camptothecin,TGBC1TKB,-1.001839
481,Camptothecin,TGBC11TKB,-2.441686
482,Camptothecin,TUR,-3.466118
483,Camptothecin,TYK-nu,-3.611969
484,Camptothecin,U-2-OS,2.505317
485,Camptothecin,U-698-M,-3.222282
486,Camptothecin,UMC-11,0.673478
487,Camptothecin,VM-CUB-1,-4.608755
488,Camptothecin,VMRC-RCZ,1.579135
489,Camptothecin,WM-115,-2.062184
490,Camptothecin,WSU-NHL,-4.556851
491,Camptothecin,YAPC,-1.756217
492,Camptothecin,YH-13,-1.462977
493,Camptothecin,RCC10RGB,-0.795513
494,Camptothecin,KURAMOCHI,1.941764
495,Camptothecin,KM-H2,-3.229047
496,Camptothecin,HuO-3N1,-1.221927
497,Camptothecin,OE19,0.467733
498,Camptothecin,Ramos-2G6-4C10,-2.313078
499,Camptothecin,RPMI-8866,-4.218859
500,Camptothecin,PSN1,-3.132673
501,Camptothecin,OAW-42,-2.945254
502,Camptothecin,OE33,-3.361522
503,Camptothecin,CGTH-W-1,-2.589776
504,Camptothecin,ATN-1,-4.589586
505,Camptothecin,CESS,-5.125983
506,Camptothecin,COLO-684,-0.72598
507,Camptothecin,COLO-668,-3.479167
508,Camptothecin,LN-405,1.22754
509,Camptothecin,TGBC24TKB,0.600398
510,Camptothecin,BFTC-909,-2.50228
511,Camptothecin,AsPC-1,2.456639
512,Camptothecin,CA46,-2.396688
513,Camptothecin,BALL-1,-5.232356
514,Camptothecin,BL-41,-4.741333
515,Camptothecin,BV-173,-5.123835
516,Camptothecin,IA-LM,-1.842245
517,Camptothecin,TGW,-2.844717
518,Camptothecin,AN3-CA,0.42113
519,Camptothecin,A204,-1.720835
520,Camptothecin,NY,-3.42435
521,Camptothecin,C3A,-1.315164
522,Camptothecin,A427,-1.361741
523,Camptothecin,CHL-1,-1.397941
524,Camptothecin,NCI-H1651,-3.985139
525,Camptothecin,RPMI-7951,-3.926533
526,Camptothecin,SCC-4,-2.203023
527,Camptothecin,ST486,-3.65084
528,Camptothecin,SW1990,-0.811421
529,Camptothecin,UACC-812,-2.695748
530,Camptothecin,SCC-15,-2.885609
531,Camptothecin,CAPAN-2,2.557426
532,Camptothecin,CAL-27,-3.960514
533,Camptothecin,BC-1,-4.090036
534,Camptothecin,A704,-2.018433
535,Camptothecin,A101D,-2.864103
536,Camptothecin,769-P,-2.139694
537,Camptothecin,23132-87,-3.276945
538,Camptothecin,BFTC-905,-4.359769
539,Camptothecin,SCC-3,-5.36315
540,Camptothecin,GAK,-1.59026
541,Camptothecin,AM-38,-4.393419
542,Camptothecin,A4-Fuk,-4.339042
543,Camptothecin,A3-KAW,-5.542232
544,Camptothecin,DOK,-2.664041
545,Camptothecin,COR-L279,-4.713951
546,Camptothecin,CHP-134,-3.817771
547,Camptothecin,NEC8,-4.182789
548,Camptothecin,CAS-1,0.014211
549,Camptothecin,ALL-PO,-4.704681
550,Camptothecin,OCI-AML2,-4.906375
551,Camptothecin,CML-T1,-6.149429
552,Camptothecin,CAL-54,-3.557146
553,Camptothecin,EFO-21,0.796873
554,Camptothecin,22RV1,-3.142631
555,Camptothecin,8505C,-2.979316
556,Camptothecin,B-CPAP,-2.454797
557,Camptothecin,BPH-1,-3.865278
558,Camptothecin,CAL-39,-4.057077
559,Camptothecin,HDLM-2,-2.776792
560,Camptothecin,HO-1-N-1,-3.95466
561,Camptothecin,HTC-C3,-1.285001
562,Camptothecin,KGN,-4.209384
563,Camptothecin,KLE,1.086801
564,Camptothecin,K5,-2.508788
565,Camptothecin,L-363,-1.155349
566,Camptothecin,NCI-H250,1.576814
567,Camptothecin,NCI-H1975,-1.579555
568,Camptothecin,MKN7,0.256741
569,Camptothecin,MKN45,-2.556872
570,Camptothecin,NCI-H810,-2.456042
571,Camptothecin,MFH-ino,-2.441699
572,Camptothecin,NOS-1,0.587864
573,Camptothecin,PANC-03-27,-1.74251
574,Camptothecin,PANC-08-13,2.230087
575,Camptothecin,PANC-10-05,-1.674982
576,Camptothecin,RL95-2,-0.802766
577,Camptothecin,RO82-W-1,1.511513
578,Camptothecin,SiHa,0.618098
579,Camptothecin,SKG-IIIa,-1.880913
580,Camptothecin,TT,0.600664
581,Camptothecin,TE-9,-1.819749
582,Camptothecin,TE-6,0.756867
583,Camptothecin,TE-12,2.117589
584,Camptothecin,TC-YIK,-4.430529
585,Camptothecin,YT,-4.794935
586,Camptothecin,OAW-28,-2.225776
587,Camptothecin,LCLC-97TM1,-2.006454
588,Camptothecin,D-263MG,-2.236309
589,Camptothecin,D-392MG,-1.89255
590,Camptothecin,Caov-4,-2.803711
591,Camptothecin,M059J,-3.64519
592,Camptothecin,HAL-01,-4.924644
593,Camptothecin,ES8,-5.227331
594,Camptothecin,ES4,-3.753754
595,Camptothecin,ES6,-1.143252
596,Camptothecin,ES1,-4.633459
597,Camptothecin,EW-7,-4.2944
598,Camptothecin,EW-3,-5.376965
599,Camptothecin,EW-1,-4.616095
600,Camptothecin,EW-18,-1.75482
601,Camptothecin,EW-16,-4.004516
602,Camptothecin,EW-13,-3.776789
603,Camptothecin,EW-22,-5.291886
604,Camptothecin,EW-24,-3.550202
605,Camptothecin,NB10,-4.837187
606,Camptothecin,NB12,-2.445108
607,Camptothecin,NB7,-2.24858
608,Camptothecin,NB13,-4.038658
609,Camptothecin,NB14,-4.470298
610,Camptothecin,NB1,-2.535995
611,Camptothecin,RH-1,-4.782128
612,Camptothecin,Jurkat,-4.444861
613,Camptothecin,BICR22,-3.840264
614,Camptothecin,BICR78,-1.481129
615,Camptothecin,EN,1.460638
616,Camptothecin,ES-2,-3.639373
617,Camptothecin,FU-OV-1,1.994484
618,Camptothecin,G-MEL,-3.366817
619,Camptothecin,NCI-H2591,0.384146
620,Camptothecin,NCI-H2595,-0.305935
621,Camptothecin,NCI-H2731,-1.004998
622,Camptothecin,NCI-H2803,-2.648474
623,Camptothecin,NCI-H2804,-3.371369
624,Camptothecin,NCI-H2810,-3.538786
625,Camptothecin,NCI-H2869,1.976381
626,Camptothecin,NCI-H3118,-2.544739
627,Camptothecin,NCI-H513,-0.665264
628,Camptothecin,HARA,-2.984627
629,Camptothecin,HCC-15,-1.064627
630,Camptothecin,HCC-366,-3.501132
631,Camptothecin,HCC-44,-2.09719
632,Camptothecin,HCC-827,-0.60842
633,Camptothecin,Hep3B2-1-7,-1.567078
634,Camptothecin,Hs-633T,-4.342117
635,Camptothecin,Hs-746T,-0.56608
636,Camptothecin,IGR-37,-3.347173
637,Camptothecin,IHH-4,-4.768083
638,Camptothecin,IM-95,-0.91044
639,Camptothecin,JHH-2,-1.261201
640,Camptothecin,JHH-4,-3.111783
641,Camptothecin,JHH-6,-0.931896
642,Camptothecin,JHH-7,0.950818
643,Camptothecin,JHU-022,-2.65046
644,Camptothecin,KYM-1,-5.00103
645,Camptothecin,KYSE-220,-3.971804
646,Camptothecin,LN-18,-1.93027
647,Camptothecin,LN-229,0.48759
648,Camptothecin,LNZTA3WT4,-1.564607
649,Camptothecin,MFE-319,-1.465849
650,Camptothecin,MS751,-2.82282
651,Camptothecin,NB(TU)1-10,-3.010637
652,Camptothecin,NCI-H1869,0.107593
653,Camptothecin,NCI-H1915,-1.342244
654,Camptothecin,NCI-H1944,-2.512065
655,Camptothecin,NCI-H196,1.614246
656,Camptothecin,NCI-H2023,-3.632207
657,Camptothecin,NCI-H211,-3.197862
658,Camptothecin,NCI-H3122,-2.989968
659,Camptothecin,NCI-H841,-0.828403
660,Camptothecin,NCI-H847,-3.434906
661,Camptothecin,OSC-20,-2.770137
