Cell Line_ID,Cell Line,Tissue,Tissue sub-type,Count,Mean_Y, Datasets
SNU-C5,"[ 7.60690348  3.15731862 10.15314148 ...  8.82641186  3.85244673
  7.27529522]",digestive_system,large_intestine,124,2.6066016532258067,GDSC2
NCI-H1299,[6.89381725 2.74147418 9.87879369 ... 9.74265672 3.52377519 6.079998  ],lung,lung_NSCLC_large_cell,122,2.8079291967213114,GDSC2
NB7,"[ 9.1967142   2.79886012 10.21642329 ...  9.14665994  3.5600967
  7.71921258]",nervous_system,neuroblastoma,122,3.0279971065573767,GDSC2
NB69,[6.97189793 2.67874753 9.59155478 ... 9.31179313 3.39070163 8.47012264],nervous_system,neuroblastoma,122,1.3853913196721312,GDSC2
NB14,[7.00654848 2.6511425  9.49749726 ... 9.00711211 3.63610299 7.07419822],nervous_system,neuroblastoma,122,1.4519999262295082,GDSC2
NB10,[7.10111891 2.82994307 9.23623696 ... 8.92023765 3.41132455 7.3208195 ],nervous_system,neuroblastoma,122,2.0444148852459016,GDSC2
HPAF-II,[8.86845369 2.76042761 9.72322756 ... 8.90838487 3.32646701 6.70261505],pancreas,pancreas,122,3.7305151557377045,GDSC2
HOS,"[ 7.43441449  2.7456301  10.2991438  ...  8.853953    3.06212566
  8.03141867]",bone,osteosarcoma,122,2.1782999344262293,GDSC2
ME-1,[3.46460305 2.82521781 9.98958234 ... 9.61736175 3.56768527 8.72184234],blood,acute_myeloid_leukaemia,122,2.664911663934426,GDSC2
NAMALWA,[3.47244465 3.18449944 9.64185191 ... 9.2916846  3.31235892 7.82341124],blood,Burkitt_lymphoma,122,0.9987734098360657,GDSC2
MPP-89,"[ 7.17866934  2.92664286 10.49584091 ...  9.52469424  3.14957726
  6.2091294 ]",lung,mesothelioma,122,2.8155202704918034,GDSC2
MOLT-4,"[ 3.24091946  3.03931351 10.29546113 ...  9.58274976  3.30543499
  8.25334081]",blood,lymphoblastic_leukemia,122,1.8825673114754098,GDSC2
MN-60,[3.53626237 3.02890487 9.63552929 ... 9.7939907  3.41588644 6.30825516],blood,B_cell_leukemia,122,2.6375934344262295,GDSC2
MLMA,[3.26441628 3.17393171 9.99397949 ... 9.37147925 3.45135958 7.58638049],blood,hairy_cell_leukaemia,122,1.4647384426229508,GDSC2
ML-2,[3.54855024 2.83570477 9.7322525  ... 9.42373315 3.11957654 8.45911435],blood,acute_myeloid_leukaemia,122,0.7948657295081967,GDSC2
MS-1,[6.31443068 2.70813992 9.6489793  ... 9.06799529 3.23646361 7.47165575],lung,lung_small_cell_carcinoma,122,2.01308981147541,GDSC2
HO-1-N-1,[7.90632094 2.75470485 9.61744697 ... 8.58506742 3.365497   7.28301544],aero_digestive_tract,head_and_neck,122,1.8535479918032787,GDSC2
MKN28,"[ 7.90351554  2.7729975  10.10877639 ...  8.57217243  3.18110335
  7.25024208]",digestive_system,stomach,122,3.1806019672131147,GDSC2
MKN1,"[ 7.84060966  2.60954529 11.43319212 ... 10.22574429  3.17173835
  7.80638228]",digestive_system,stomach,122,2.8859035,GDSC2
MIA-PaCa-2,[3.55921941 2.93293315 9.5638579  ... 8.96228567 4.2018073  7.95140361],pancreas,pancreas,122,2.704031008196721,GDSC2
MSTO-211H,"[ 7.80401331  2.8617436  10.28262982 ...  9.0980776   3.25106066
  6.35144895]",lung,mesothelioma,122,2.939139286885246,GDSC2
MG-63,"[ 6.71552856  2.72726255 10.04921882 ...  8.25543088  3.40717315
  8.03344962]",bone,osteosarcoma,122,2.8208577704918034,GDSC2
Mo-T,"[ 3.21161343  2.80786276 10.38867697 ...  9.54386946  3.18608503
  6.30373286]",blood,hairy_cell_leukaemia,122,2.811376967213115,GDSC2
MFE-280,"[ 9.32262266  2.97474372 10.483609   ...  9.32000457  3.21493852
 10.0055999 ]",urogenital_system,endometrium,122,3.3465575163934425,GDSC2
MEG-01,"[ 3.33911575  2.80146432  9.91846504 ... 10.71175004  3.34233907
  7.3736616 ]",blood,chronic_myeloid_leukaemia,122,1.5333757868852458,GDSC2
ME-180,"[ 8.19945608  2.76658567 10.34360437 ...  9.49122689  3.12364168
  7.51492033]",urogenital_system,cervix,122,2.6306474344262294,GDSC2
NALM-6,[3.41139979 2.8822021  9.29907313 ... 9.13671624 3.50636942 8.29290854],blood,B_cell_leukemia,122,0.793179762295082,GDSC2
MKN45,"[ 7.8854036   2.89976566 10.50263903 ...  9.7437481   3.35508874
  6.8174164 ]",digestive_system,stomach,122,2.567787696721312,GDSC2
LCLC-103H,"[ 7.81078729  2.60379176 10.1562032  ...  9.27905457  3.38499623
  7.05554531]",lung,lung_NSCLC_large_cell,122,2.799510139344262,GDSC2
LU-65,"[ 6.52234149  2.93737956 10.14715439 ...  8.82231878  3.14899198
  7.7590224 ]",lung,lung_NSCLC_large_cell,122,2.5817797295081966,GDSC2
KARPAS-1106P,[3.25020457 2.81315226 9.31074075 ... 9.54309847 3.47044669 6.73571922],blood,B_cell_lymphoma,122,1.5609698770491802,GDSC2
KP-4,[7.72223098 2.63456593 9.59099    ... 9.00954587 3.29823715 9.36628583],pancreas,pancreas,122,2.7560854590163935,GDSC2
KP-3,"[ 7.40291488  2.85316175 10.15375485 ...  9.07048231  3.29190098
  6.46693819]",pancreas,pancreas,122,4.487269918032786,GDSC2
KNS-62,"[ 8.2632708   2.63377046 10.26011692 ...  8.57070001  3.46882328
  6.24411703]",lung,lung_NSCLC_squamous_cell_carcinoma,122,2.8826819754098363,GDSC2
KINGS-1,[6.64976248 2.66900045 9.74136938 ... 9.1226841  3.16892439 7.45930861],nervous_system,glioma,122,3.8966734754098358,GDSC2
KELLY,[6.28371354 2.75487428 9.60000528 ... 9.41090697 3.11982767 7.98748849],nervous_system,neuroblastoma,122,1.535868557377049,GDSC2
KATOIII,"[ 7.44806227  2.88700655 10.6429382  ...  8.12321927  3.13563943
  7.89770062]",digestive_system,stomach,122,3.4785729836065573,GDSC2
KARPAS-422,"[ 3.40252083  3.0272189  10.48828653 ...  8.89285672  3.4697833
  8.87319163]",blood,B_cell_lymphoma,122,1.8657793196721313,GDSC2
KALS-1,"[ 7.96130791  2.7564878  10.19750704 ...  9.09678303  3.06104607
  6.600714  ]",nervous_system,glioma,122,3.1577171393442622,GDSC2
KU812,"[ 3.22255734  3.3140694   9.61993371 ... 10.36149927  3.25155525
  7.95334102]",blood,chronic_myeloid_leukaemia,122,1.0372050245901638,GDSC2
K5,"[ 6.81568769  2.84363705 10.40093722 ...  9.19162861  3.22977822
  8.03167043]",thyroid,thyroid,122,2.1774138442622952,GDSC2
K-562,"[ 3.23470096  2.99294674 10.20787067 ...  9.41608569  3.83019675
  7.95757143]",blood,chronic_myeloid_leukaemia,122,2.5097704836065575,GDSC2
JHU-022,"[ 7.10826736  2.7927636  10.34047785 ...  9.13205183  3.32436287
  7.29952212]",aero_digestive_tract,head_and_neck,122,2.9436933852459015,GDSC2
JHH-7,[9.66344461 2.6660865  9.28287504 ... 8.68960183 3.1360786  7.83738909],digestive_system,liver,122,3.9545132213114753,GDSC2
JHH-2,[9.24133564 2.76447703 9.86557706 ... 9.72266161 3.44821831 6.75449254],digestive_system,liver,122,3.056960549180328,GDSC2
IST-MES1,[6.67138216 2.67712801 9.94525649 ... 9.88360529 3.2488836  7.97386718],lung,mesothelioma,122,3.244374401639344,GDSC2
IM-9,[3.32439764 2.81605089 9.52415058 ... 8.51405513 3.34956565 7.96528887],blood,myeloma,122,0.9820402459016393,GDSC2
KS-1,[7.74631665 2.6535586  9.63244384 ... 9.52702322 3.22040162 7.43864859],nervous_system,glioma,122,2.9428071229508195,GDSC2
KURAMOCHI,"[ 7.80350177  3.06276936 10.61808712 ...  9.1567165   3.24415026
  6.86199073]",urogenital_system,ovary,122,4.283950196721312,GDSC2
LU-165,[5.56228986 2.770645   9.55481521 ... 9.59927117 3.12788453 7.30668906],lung,lung_small_cell_carcinoma,122,3.947221918032787,GDSC2
L-540,"[ 3.31000798  2.87073318 10.2176719  ... 10.53016142  3.10280874
  7.69264003]",blood,Hodgkin_lymphoma,122,1.5846014344262294,GDSC2
LOXIMVI,"[ 7.56930072  2.66682609 10.42961694 ...  8.63359583  3.23588987
  7.9161639 ]",skin,melanoma,122,1.678732024590164,GDSC2
LOUCY,[3.30489855 2.66426257 9.8650637  ... 9.1827873  3.30012532 8.03024987],blood,lymphoblastic_T_cell_leukaemia,122,1.1826661475409836,GDSC2
LK-2,[7.69524097 2.79954971 9.94822122 ... 8.70770252 3.32396423 9.06626307],lung,lung_NSCLC_squamous_cell_carcinoma,122,2.9398517950819674,GDSC2
IHH-4,[6.36167566 2.72912191 9.07059871 ... 8.36676071 3.57098338 7.92223979],thyroid,thyroid,122,2.0565051147540983,GDSC2
LC4-1,[3.23929009 3.07708038 9.33677021 ... 9.43413878 3.81176844 8.88649267],blood,lymphoblastic_leukemia,122,1.4121946393442624,GDSC2
LB831-BLC,"[ 7.10563696  2.79884697 10.48648556 ...  9.59377215  3.40725977
  7.55380434]",urogenital_system,bladder,122,2.730914081967213,GDSC2
LAMA-84,[3.27146637 2.65103862 9.96040917 ... 8.95331265 3.23475041 9.10395942],blood,chronic_myeloid_leukaemia,122,1.0278094344262294,GDSC2
L-1236,"[ 3.32940572  2.75604742 10.12754648 ...  9.4029445   3.07983772
  8.59301773]",blood,Hodgkin_lymphoma,122,1.4282006803278688,GDSC2
IA-LM,[7.54262086 2.81206088 9.92848489 ... 8.80574228 3.31116715 8.71810962],lung,lung_NSCLC_large_cell,122,3.9544041475409832,GDSC2
KYSE-70,"[ 6.35538561  2.63236709 10.80061007 ...  9.5350416   3.26875325
  7.74572702]",aero_digestive_tract,oesophagus,122,3.987988303278689,GDSC2
HuCCT1,[8.04175284 2.94499766 9.64660322 ... 9.08035748 3.525622   8.0808642 ],digestive_system,biliary_tract,122,2.6757200901639346,GDSC2
NCI-H1355,[7.32186538 2.72005504 9.0253933  ... 9.69792409 3.15726975 7.66857951],lung,lung_NSCLC_adenocarcinoma,122,3.5258811147540983,GDSC2
KYSE-270,"[ 8.42642374  2.72502157 10.25202273 ...  9.61233042  3.17947134
  7.40497495]",aero_digestive_tract,oesophagus,122,2.4306929344262294,GDSC2
KYSE-220,"[ 7.73409974  2.7655472  10.98189185 ...  9.268974    3.34031221
  7.7466514 ]",aero_digestive_tract,oesophagus,122,1.8737185819672133,GDSC2
KYM-1,[6.13280105 3.15785296 8.74074055 ... 8.41631085 3.34366695 8.73292527],soft_tissue,rhabdomyosarcoma,122,1.4406548114754099,GDSC2
KYAE-1,"[ 8.37202676  2.65674149 11.22407045 ...  8.52256157  3.14123717
  9.95535924]",aero_digestive_tract,oesophagus,122,3.187915360655738,GDSC2
KYSE-450,"[ 7.43811613  2.79139012 10.72893599 ... 10.33888577  3.19044232
  7.92060254]",aero_digestive_tract,oesophagus,122,2.6397464918032787,GDSC2
NCI-H28,[6.0706301  3.29663862 9.93669739 ... 9.6698868  3.52123196 8.00881065],lung,mesothelioma,122,4.095156909836065,GDSC2
NCI-H1435,[7.75387815 2.67261721 9.61250049 ... 8.85398138 3.46093874 6.62092561],lung,lung_NSCLC_adenocarcinoma,122,3.480672319672131,GDSC2
SCC-4,"[ 7.48428394  3.01561336 10.01017345 ...  8.7917374   3.44304793
  7.44768367]",aero_digestive_tract,head_and_neck,122,2.9332885901639343,GDSC2
SUP-T1,[3.26299816 2.94763756 9.80672858 ... 9.50897282 3.36172508 7.9917614 ],blood,lymphoblastic_T_cell_leukaemia,122,1.835282893442623,GDSC2
ST486,"[ 3.42951214  2.97831433 10.03030464 ...  9.00649406  3.32514703
  7.66620662]",blood,Burkitt_lymphoma,122,1.3790769180327869,GDSC2
SR,[3.16548554 2.70393106 8.97196504 ... 9.06050953 3.65463082 7.70157488],blood,lymphoid_neoplasm_other,122,0.7669067704918032,GDSC2
SNU-449,[9.30203934 3.14058812 9.24940943 ... 9.54789354 3.54849023 8.23173733],digestive_system,liver,122,3.43304787704918,GDSC2
SNU-423,"[ 9.26677539  2.75069637 10.14151268 ...  9.37295739  3.27877826
  7.8318056 ]",digestive_system,liver,122,2.880774081967213,GDSC2
SNU-387,[8.75123545 2.84701805 9.74039817 ... 9.18097914 3.5093263  7.39747244],digestive_system,liver,122,3.1339214426229507,GDSC2
SNG-M,"[ 8.52295295  2.72236635 10.33991616 ...  9.66826497  3.17221409
  7.47314066]",urogenital_system,endometrium,122,2.2229787049180327,GDSC2
SN12C,[7.59593404 2.570233   9.86931008 ... 8.88793447 3.18912216 4.98162432],kidney,kidney,122,3.9539419918032785,GDSC2
SLVL,[3.30617133 2.8000696  9.99695861 ... 9.0308011  3.42511569 7.44148911],blood,B_cell_lymphoma,122,1.772152942622951,GDSC2
SKN,"[ 7.51930098  3.0624606  10.26776531 ...  8.91712875  3.49622423
  7.16349744]",urogenital_system,uterus,122,3.033739163934426,GDSC2
SKG-IIIa,"[ 8.79416101  2.79520454  9.98012701 ... 10.19072629  3.23857378
  7.65827964]",urogenital_system,cervix,122,2.9376320163934424,GDSC2
SK-UT-1,[5.62225526 2.91512594 9.54522796 ... 8.63008704 3.40656524 8.08814858],soft_tissue,soft_tissue_other,122,2.6723426721311476,GDSC2
SK-PN-DW,[6.94384676 2.97083391 9.95282864 ... 8.91804511 3.36834475 8.43296499],bone,ewings_sarcoma,122,1.733740557377049,GDSC2
SK-OV-3,[7.28421785 2.87756593 9.47340355 ... 9.07243575 3.51071078 8.63017395],urogenital_system,ovary,122,4.07431237704918,GDSC2
SK-N-AS,"[ 3.24648822  2.99713037  9.94183945 ... 10.52831886  3.63528401
  7.67389979]",nervous_system,neuroblastoma,122,2.9070547540983607,GDSC2
SK-MEL-24,[6.24877934 2.87366482 8.93094932 ... 9.08198698 3.46265888 7.26857214],skin,melanoma,122,3.2052234098360657,GDSC2
SK-MEL-2,"[ 7.84480304  2.684972   10.82428409 ... 10.43493557  3.35164711
  7.08654021]",skin,melanoma,122,3.0073722295081966,GDSC2
SK-LU-1,[7.47319383 2.84134456 9.10031394 ... 9.20135649 3.58666928 8.1255983 ],lung,lung_NSCLC_adenocarcinoma,122,4.058619090163934,GDSC2
SK-LMS-1,[8.1847796  2.76496004 9.86684744 ... 9.28313869 3.22184696 7.65580672],soft_tissue,soft_tissue_other,122,2.8051107540983606,GDSC2
SK-GT-4,"[ 8.63157528  2.69146474 10.40390566 ... 10.22697352  3.28714329
  7.76839559]",aero_digestive_tract,oesophagus,122,4.0222605409836065,GDSC2
SHP-77,"[ 5.74886737  2.90224604 10.10603345 ...  8.93843033  3.38180327
  8.26299633]",lung,lung_small_cell_carcinoma,122,2.115643081967213,GDSC2
SH-4,[6.81165094 2.66136501 9.3458701  ... 9.04792966 3.35806126 7.65004587],skin,melanoma,122,2.6789891393442624,GDSC2
SF539,[7.71080749 2.81900414 9.8989146  ... 8.61262617 3.34327855 7.1177704 ],nervous_system,glioma,122,1.7942303278688523,GDSC2
SW1088,[6.91533841 2.84972643 9.90626801 ... 9.13301346 3.22873249 6.85560426],nervous_system,glioma,122,2.893220204918033,GDSC2
SW1271,"[ 6.28781914  2.84209049 10.37013041 ...  9.20841366  3.34850472
  8.20550065]",lung,lung_small_cell_carcinoma,122,3.6487318278688523,GDSC2
SW13,"[ 8.35290248  2.84513439 10.26996435 ...  9.52947411  3.42376384
  7.60819348]",kidney,adrenal_gland,122,1.8048640081967213,GDSC2
U-266,[3.47888418 2.70836174 9.70771496 ... 9.81765743 3.49421686 7.84765638],blood,myeloma,122,2.5805554098360655,GDSC2
YH-13,[7.46928728 2.92396706 9.1211715  ... 9.18943693 3.28011595 7.46385675],nervous_system,glioma,122,2.4769560573770493,GDSC2
YAPC,"[ 8.32728188  2.81626699 10.13615513 ...  9.04591359  3.30136729
  7.86764167]",pancreas,pancreas,122,3.914489081967213,GDSC2
WM1552C,[7.28337359 2.90788791 9.22069123 ... 9.27613818 3.38268895 7.25309337],skin,melanoma,122,2.482964,GDSC2
WM-115,[7.22291512 2.86656447 9.23302456 ... 8.93306892 3.17840369 7.85700615],skin,melanoma,122,3.1663586721311474,GDSC2
VMRC-RCZ,"[ 4.14476115  2.77810267 10.46734687 ...  9.65019676  3.31189483
  7.59887702]",kidney,kidney,122,5.273736827868852,GDSC2
VMRC-LCD,[4.35304636 2.65207451 9.54897805 ... 9.09096084 3.2790861  6.97832368],lung,lung_NSCLC_adenocarcinoma,122,3.6342774098360655,GDSC2
VM-CUB-1,"[ 7.18707147  2.69141667 10.18477487 ...  9.2700879   3.44585753
  5.75414435]",,,122,2.479743901639344,
